Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Aluminum,96,89,91,96
🔹 RS > 80: Leading Sectors,Semiconductors,92,88,94,92
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,81,87,85,82
🔹 RS ≥ 80: Breakout Sectors,Other Precious Metals & Mining,81,60,16,63
