Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,Gold,93,93,89,88
🔹 RS > 80: Leading Sectors,Banks - Diversified,83,81,85,84
🔸 RS ≥ 75: Top Moving Sectors,Silver,97,96,91,34
🔸 RS ≥ 75: Top Moving Sectors,Aluminum,88,78,60,15
🔸 RS ≥ 75: Top Moving Sectors,Solar,85,84,80,27
🔸 RS ≥ 75: Top Moving Sectors,Other Industrial Metals & Mining,84,81,67,56
🔸 RS ≥ 75: Top Moving Sectors,Copper,82,80,54,27
🔸 RS ≥ 75: Top Moving Sectors,Luxury Goods,81,74,66,58
🔸 RS ≥ 75: Top Moving Sectors,Utilities - Renewable,80,76,69,44
🔹 RS ≥ 80: Breakout Sectors,Silver,97,96,91,34
🔹 RS ≥ 80: Breakout Sectors,Aluminum,88,78,60,15
🔹 RS ≥ 80: Breakout Sectors,Solar,85,84,80,27
🔹 RS ≥ 80: Breakout Sectors,Copper,82,80,54,27
🕵️ Improving Watchlist (RS < 75),Department Stores,71,69,57,17
🕵️ Improving Watchlist (RS < 75),Diagnostics & Research,70,66,46,39
🕵️ Improving Watchlist (RS < 75),Coking Coal,70,67,55,9
🕵️ Improving Watchlist (RS < 75),Marine Shipping,65,42,37,20
🕵️ Improving Watchlist (RS < 75),Oil & Gas Equipment & Services,63,46,41,30
🕵️ Improving Watchlist (RS < 75),Oil & Gas Drilling,49,34,23,16
🕵️ Improving Watchlist (RS < 75),Chemicals,41,39,30,22
🕵️ Improving Watchlist (RS < 75),REIT - Hotel & Motel,39,17,16,15
