Section,Industry,RS,1 M_RS,3M_RS,6M_RS
🔹 RS > 80: Leading Sectors,REIT - Hotel & Motel,91,92,92,92
🔹 RS > 80: Leading Sectors,Textile Manufacturing,90,94,94,87
🔹 RS > 80: Leading Sectors,Healthcare Plans,85,86,90,83
🕵️ Improving Watchlist (RS < 75),Biotechnology,70,69,61,59
🕵️ Improving Watchlist (RS < 75),Integrated Freight & Logistics,68,67,64,61
