Section,Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO
Leading Stocks (RS > 90),1,EDRY,22.88,87911.0,Industrials,Marine Shipping,96.0,98.0,97.0,96.0,8100.0,32450.0,23.98,7.6,66135712.0,No
Leading Stocks (RS > 90),2,AAOI,102.51,26829890.0,Technology,Communication Equipment,98.0,98.0,98.0,98.0,5446694.0,6329560.0,110.0,9.71,6999371264.0,No
Leading Stocks (RS > 90),3,LASR,67.69,4824146.0,Technology,Semiconductors,98.0,98.0,98.0,96.0,1080230.0,1832260.0,68.2,6.2,3747309824.0,No
Leading Stocks (RS > 90),4,AEHR,44.03,2703751.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,93.0,1130576.0,1538520.0,44.54,6.27,1348521856.0,No
Leading Stocks (RS > 90),5,NBTX,31.96,71399.0,Healthcare,Biotechnology,98.0,98.0,96.0,98.0,30710.0,30850.0,33.8,2.95,1546478848.0,No
Leading Stocks (RS > 90),6,VIAV,35.35,17401503.0,Technology,Communication Equipment,97.0,98.0,98.0,98.0,4457230.0,5174650.0,35.61,8.1,8179613184.0,No
Leading Stocks (RS > 90),7,ALM,20.72,8701692.0,Basic Materials,Other Industrial Metals & Mining,98.0,98.0,98.0,98.0,4080588.0,3435500.0,20.88,2.29,5314449408.0,No
Leading Stocks (RS > 90),8,COHR,298.91,9670231.0,Technology,Scientific & Technical Instruments,98.0,97.0,98.0,98.0,5153274.0,6180980.0,299.09,45.58,56040202240.0,No
Leading Stocks (RS > 90),9,ENLT,73.38,186243.0,Utilities,Utilities - Renewable,98.0,96.0,97.0,97.0,96205.0,208450.0,81.28,14.01,10150379520.0,No
Leading Stocks (RS > 90),10,VICR,209.19,925388.0,Technology,Electronic Components,98.0,95.0,98.0,98.0,604296.0,881070.0,209.53,38.92,9396661248.0,No
Leading Stocks (RS > 90),11,NESR,24.69,3405718.0,Energy,Oil & Gas Equipment & Services,97.0,96.0,97.0,97.0,1274364.0,2177780.0,26.85,5.2,2488435456.0,No
Leading Stocks (RS > 90),12,FSLY,21.17,16915877.0,Technology,Software - Application,97.0,98.0,97.0,97.0,8830045.0,19888660.0,21.22,4.65,3162798080.0,No
Leading Stocks (RS > 90),13,GLW,157.86,15217674.0,Technology,Electronic Components,97.0,98.0,97.0,97.0,8808081.0,13517050.0,162.1,37.31,135435689984.0,No
Leading Stocks (RS > 90),14,UCTT,63.22,2028273.0,Technology,Semiconductor Equipment & Materials,97.0,97.0,98.0,97.0,1164654.0,2626640.0,73.8,16.66,2869371648.0,No
Leading Stocks (RS > 90),15,FRO,39.62,9872206.0,Energy,Oil & Gas Midstream,96.0,97.0,97.0,95.0,3062888.0,4025910.0,39.89,12.4,8820319232.0,No
Leading Stocks (RS > 90),16,KF,54.87,41493.0,Financial Services,Asset Management,96.0,94.0,96.0,95.0,19145.0,26230.0,58.59,18.15,228925808.0,No
Leading Stocks (RS > 90),17,ECO,54.82,1362767.0,Industrials,Marine Shipping,95.0,97.0,94.0,96.0,385544.0,550280.0,57.29,17.91,2141441920.0,No
Leading Stocks (RS > 90),18,TEN,37.05,853021.0,Energy,Oil & Gas Midstream,95.0,97.0,95.0,93.0,319535.0,499580.0,37.61,13.4,1116227712.0,No
Leading Stocks (RS > 90),19,ESLT,829.36,220884.0,Industrials,Aerospace & Defense,95.0,92.0,97.0,94.0,128194.0,161750.0,833.25,328.32,38966349824.0,No
Leading Stocks (RS > 90),20,KEN,84.66,23886.0,Utilities,Utilities - Independent Power Producers,95.0,93.0,94.0,94.0,14967.0,20860.0,84.8,27.1,4415039488.0,No
Leading Stocks (RS > 90),21,INSW,76.5,1030101.0,Energy,Oil & Gas Midstream,94.0,97.0,94.0,93.0,536394.0,595840.0,78.51,27.2,3778681600.0,No
Leading Stocks (RS > 90),22,TIGO,75.15,2170220.0,Communication Services,Telecom Services,94.0,95.0,93.0,92.0,1170003.0,1541970.0,75.25,25.5,12556437504.0,No
Leading Stocks (RS > 90),23,PKE,28.51,425474.0,Industrials,Aerospace & Defense,94.0,93.0,94.0,91.0,234186.0,257140.0,28.75,11.97,568084480.0,No
Leading Stocks (RS > 90),24,LINC,36.83,545048.0,Consumer Defensive,Education & Training Services,94.0,97.0,97.0,95.0,355555.0,850020.0,37.31,14.1,1164704512.0,No
Leading Stocks (RS > 90),25,ECPG,70.92,497624.0,Financial Services,Credit Services,93.0,96.0,93.0,94.0,207228.0,270600.0,72.3,26.45,1631994880.0,No
Leading Stocks (RS > 90),26,TNK,78.14,970579.0,Energy,Oil & Gas Midstream,93.0,95.0,91.0,92.0,455867.0,686260.0,82.21,33.35,2698874624.0,No
Leading Stocks (RS > 90),27,MTRN,166.59,305870.0,Basic Materials,Other Industrial Metals & Mining,93.0,94.0,92.0,91.0,182240.0,225040.0,172.03,69.1,3454445568.0,No
Leading Stocks (RS > 90),28,NWPX,82.07,132000.0,Basic Materials,Steel,93.0,96.0,93.0,91.0,79461.0,88870.0,83.12,36.97,792294144.0,No
Leading Stocks (RS > 90),29,EE,41.99,732379.0,Energy,Oil & Gas Midstream,91.0,92.0,95.0,93.0,372506.0,499940.0,43.07,21.29,4788160512.0,No
