Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
304,SMTI,Stock,34.06,3244812.0,Healthcare,Medical Instruments & Supplies,94.0,98.0,98.0,95.0,3244812.0,NO,8132,10.64,YES,2026-07-30,3244812.0,NO,1.6286,1.3647,64147.0,103320.0,35.95,16.05,312124800,23.83,22.4,24.52,21.53
591,SHAZ,Stock,48.77,4463280.0,Technology,Information Technology Services,91.0,0.0,68.0,,4463280.0,NO,113,12.75,YES,2026-07-30,4463280.0,NO,8.5686,7.8907,1371527.0,2389200.0,97.48,16.55,1733352576,70.61,,70.01,
2129,INTG,Stock,27.46,526719.0,Consumer Cyclical,Lodging,70.0,0.0,0.0,9.0,526719.0,NO,11687,0.0,YES,2026-07-30,526719.0,NO,3.4496,3.4268,71086.0,64540.0,52.0,10.61,59006376,38.42,34.42,37.81,35.19
7163,INIO,Stock,24.39,9511346.0,Industrials,Specialty Industrial Machinery,3.0,0.0,,,9511346.0,YES,37,0.0,YES,2026-07-30,9511346.0,YES,3.1114,2.9504,4897533.0,4880260.0,42.95,21.69,18292500480,,,,
7363,CCB,Stock,39.91,2054786.0,Financial Services,Banks - Regional,0.0,0.0,0.0,0.0,2054786.0,NO,2018,0.0,YES,2026-07-30,2054786.0,NO,4.9014,3.6293,129157.0,138830.0,120.05,36.61,608579904,73.3,89.28,71.18,79.8
