Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
88,DK,Stock,78.12,11333522.0,Energy,Oil & Gas Refining & Marketing,97.0,95.0,98.0,95.0,11333522.0,YES,5126,0.0,YES,2026-09-18,11333522.0,NO,4.4536,4.2264,1501574.0,2087290.0,82.27,25.85,4783457792,67.81,46.69,68.81,52.81
110,BE,Stock,265.63,72998381.0,Industrials,Electrical Equipment & Parts,97.0,97.0,6.0,94.0,72998381.0,YES,2049,0.0,YES,2026-09-18,72998381.0,NO,17.9009,15.2316,15293014.0,15019390.0,351.28,61.37,78235303936,225.43,198.84,226.14,225.56
115,AYA,Stock,28.46,4010470.0,Basic Materials,Silver,97.0,89.0,96.0,97.0,4010470.0,NO,4126,0.0,YES,2026-09-18,4010470.0,NO,1.7668,1.4446,860933.0,1240640.0,30.4,8.59,4099268864,24.76,19.07,25.12,20.35
149,ATRC,Stock,58.1,8634168.0,Healthcare,Medical Instruments & Supplies,97.0,96.0,98.0,97.0,8634168.0,NO,5313,0.0,YES,2026-09-18,8634168.0,NO,2.2171,2.0843,967935.0,1282720.0,59.88,25.36,2955331840,44.44,35.43,45.51,34.7
176,SCTX,Stock,33.0,2183697.0,Healthcare,Biotechnology,96.0,91.0,,,2183697.0,NO,39,0.0,YES,2026-09-18,2183697.0,YES,3.2043,3.1421,221831.0,192620.0,39.6,17.31,624745472,,,,
291,FRNM,Stock,17.11,5934448.0,Healthcare,Diagnostics & Research,95.0,97.0,96.0,93.0,5934448.0,NO,569,1.72,YES,2026-09-18,5934448.0,NO,0.9557,0.9429,647301.0,665010.0,17.25,9.95,1838415104,13.07,12.25,13.34,11.91
391,PBLS,Stock,41.73,8864609.0,Healthcare,Biotechnology,93.0,80.0,97.0,,8864609.0,NO,70,0.32,YES,2026-09-18,8864609.0,NO,2.3836,2.3414,467048.0,589250.0,42.34,24.51,5155042304,35.73,,36.44,
537,PBAM,Stock,89.08,446863.0,Financial Services,Banks - Regional,91.0,84.0,89.0,87.0,446863.0,NO,3665,0.0,YES,2026-09-18,446863.0,NO,1.5814,1.5664,44629.0,198930.0,92.09,54.45,510045024,85.55,71.68,86.37,76.59
548,IOND,Stock,84.74,3864045.0,Financial Services,Capital Markets,91.0,97.0,,,3864045.0,NO,38,0.0,YES,2026-09-18,3864045.0,YES,5.0757,5.0757,834291.0,678970.0,85.9,50.0,3812975872,,,,
639,GRDN,Stock,44.99,3148297.0,Healthcare,Medical Care Facilities,90.0,95.0,77.0,87.0,3148297.0,NO,496,0.0,YES,2026-09-18,3148297.0,NO,2.0068,2.0068,440338.0,695060.0,48.33,23.14,2849770240,40.51,36.51,40.72,38.85
800,CBC,Stock,31.85,7446429.0,Financial Services,Banks - Regional,88.0,83.0,85.0,88.0,7446429.0,NO,206,0.0,YES,2026-09-18,7446429.0,NO,0.7682,0.7646,826503.0,1515700.0,33.82,22.5,7628238848,32.29,27.28,32.42,28.65
1392,BUSE,Stock,30.32,2929995.0,Financial Services,Banks - Regional,80.0,75.0,79.0,82.0,2929995.0,NO,7031,0.0,YES,2026-09-18,2929995.0,NO,0.4848,0.4719,777200.0,602110.0,31.7,22.0,2503733504,30.39,27.15,30.49,28.05
1717,VVX,Stock,76.84,3193657.0,Industrials,Aerospace & Defense,76.0,16.0,13.0,62.0,3898228.0,NO,3020,0.0,YES,2026-09-18,3898228.0,NO,2.8048,2.7983,661304.0,631370.0,93.98,50.89,2408577280,79.12,71.52,79.63,75.19
2193,SSMR,Stock,17.18,5490454.0,Basic Materials,Other Industrial Metals & Mining,70.0,77.0,92.0,,5490454.0,NO,74,0.61,YES,2026-09-18,5490454.0,NO,1.1561,1.0839,224462.0,421320.0,19.61,12.51,2469223168,15.96,,16.22,
3571,BETA,Stock,20.9,25404656.0,Industrials,Aerospace & Defense,51.0,1.0,93.0,87.0,25404656.0,YES,219,0.0,YES,2026-09-18,25404656.0,NO,1.4636,1.4118,1897051.0,2956420.0,39.5,13.43,5000481792,21.05,20.33,21.24,18.29
4376,OBX,Stock,17.75,3917157.0,Healthcare,Biotechnology,41.0,7.0,,,3917157.0,NO,39,0.0,YES,2026-09-18,3917157.0,YES,1.7943,1.7786,216818.0,497930.0,49.97,14.57,1096468608,,,,
5802,OCTV,Stock,18.82,18849422.0,Technology,Software - Application,22.0,83.0,85.0,,18849422.0,YES,83,0.22,YES,2026-09-18,18849422.0,NO,0.8628,0.7514,1705662.0,2617790.0,30.0,15.41,5051999232,18.21,,18.37,
6508,BXDC,Stock,19.33,16891663.0,Real Estate,REIT - Specialty,13.0,34.0,10.0,,16891663.0,YES,88,0.0,YES,2026-09-18,16891663.0,NO,0.5539,0.5461,938774.0,1443890.0,22.9,19.2,1945562624,20.28,,20.28,
6911,TAP,Stock,37.55,44531370.0,Consumer Defensive,Beverages - Brewers,7.0,7.0,23.0,8.0,35121059.0,YES,12925,0.0,YES,2026-09-18,35121059.0,NO,1.1021,1.0689,3008004.0,3204090.0,54.82,37.34,7001345024,40.94,43.75,41.09,41.97
6935,CSQR,Stock,17.97,13259962.0,Technology,Information Technology Services,7.0,6.0,,,13259962.0,YES,46,0.0,YES,2026-09-18,13259962.0,YES,1.0296,0.9939,1473833.0,1225890.0,23.5,16.62,2994412544,,,20.04,
7137,QVCG,Stock,15.92,3512209.0,Consumer Cyclical,Specialty Retail,4.0,90.0,,,3512209.0,NO,29,0.0,YES,2026-09-18,3512209.0,YES,1.1175,1.1111,283442.0,495310.0,20.0,14.6,0,,,,
7207,MATW,Stock,20.48,6323677.0,Industrials,Conglomerates,4.0,16.0,4.0,5.0,6323677.0,NO,8096,0.0,YES,2026-09-18,6323677.0,NO,0.6279,0.6007,594438.0,866370.0,30.93,19.51,639245760,23.86,25.84,23.37,25.44
7288,KARD,Stock,16.64,6356003.0,Healthcare,Biotechnology,2.0,0.0,,,6356003.0,NO,64,0.0,YES,2026-09-18,6356003.0,NO,1.4968,1.4868,374930.0,516150.0,27.0,16.0,1555901440,20.68,,20.04,
