Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
1640,SLON,ETF,32.01,308411.0,ETF,ETF,77.0,98.0,98.0,58.0,308411.0,NO,293,3.05,YES,2026-09-11,308411.0,NO,3.066,1.9753,66479.0,129530.0,395.3,13.0,0,22.85,37.49,23.24,24.04
2861,PDBA,ETF,38.69,3895534.0,ETF,ETF,61.0,87.0,82.0,49.0,3895534.0,NO,1016,0.0,YES,2026-09-11,3895534.0,NO,0.4094,0.3751,215983.0,276680.0,39.41,33.69,0,37.54,35.98,37.66,36.53
2933,EDGU,ETF,31.79,2051850.0,ETF,ETF,60.0,45.0,51.0,62.0,2051850.0,NO,486,0.0,YES,2026-09-11,2051850.0,NO,0.2036,0.1343,27419.0,24420.0,32.63,27.11,0,31.75,30.03,31.8,30.53
4717,XLVI,ETF,25.71,266918.0,ETF,ETF,36.0,20.0,46.0,32.0,266918.0,NO,282,0.0,YES,2026-09-11,266918.0,NO,0.2851,0.2461,30953.0,68510.0,27.35,24.2,0,26.59,26.01,26.58,25.77
5259,NRAM,ETF,23.86,35507.0,ETF,ETF,29.0,,,,35507.0,NO,2,0.0,YES,2026-09-11,35507.0,NO,,,28900.0,28900.0,25.0,23.49,0,,,,
5394,DICE,ETF,24.93,2119.0,ETF,ETF,27.0,,,,2119.0,NO,3,0.0,YES,2026-09-11,2119.0,NO,,,1410.0,1410.0,25.69,24.83,0,,,,
5425,TIPF,ETF,98.57,2459.0,ETF,ETF,27.0,,,,2459.0,NO,10,0.0,YES,2026-09-11,2459.0,NO,,,11.0,11.0,99.92,98.44,0,,,,
5658,MUNH,ETF,97.8,513.0,ETF,ETF,24.0,,,,513.0,NO,11,0.0,YES,2026-09-11,513.0,NO,,,20.0,0.0,100.2,98.92,0,,,,
5931,SKOR,ETF,47.28,3363300.0,ETF,ETF,20.0,51.0,29.0,20.0,3363300.0,NO,2973,0.0,YES,2026-09-11,3363300.0,NO,0.1184,0.0814,64161.0,92580.0,49.53,47.28,0,47.98,48.63,47.92,48.39
6090,NYF,ETF,51.58,2097785.0,ETF,ETF,18.0,33.0,20.0,17.0,2097785.0,NO,4759,0.08,YES,2026-09-11,2097785.0,NO,0.1982,0.1596,177933.0,267310.0,54.52,51.36,0,52.91,53.46,52.8,53.34
6382,VTEL,ETF,98.69,288195.0,ETF,ETF,14.0,26.0,17.0,14.0,288195.0,NO,328,0.29,YES,2026-09-11,288195.0,NO,0.5479,0.4633,40345.0,55560.0,105.84,98.11,0,102.1,103.33,101.79,103.05
6519,PZT,ETF,21.11,632166.0,ETF,ETF,13.0,18.0,15.0,12.0,632166.0,NO,4759,0.19,YES,2026-09-11,632166.0,NO,0.1711,0.1539,31404.0,34150.0,22.75,21.01,0,22.11,22.32,22.03,22.29
7272,SMRX,ETF,19.71,2606.0,ETF,ETF,3.0,1.0,,,2606.0,NO,45,0.0,YES,2026-09-11,2606.0,NO,2.879,1.3283,188.0,290.0,33.52,16.7,0,,,22.87,
7311,STLU,ETF,16.22,257059.0,ETF,ETF,2.0,96.0,2.0,,257059.0,NO,113,0.75,YES,2026-09-11,257059.0,NO,1.4543,0.8854,35475.0,64480.0,43.84,12.67,0,17.08,,16.84,
7396,METQ,ETF,18.77,244934.0,ETF,ETF,1.0,,,,244934.0,NO,18,0.0,YES,2026-09-11,244934.0,NO,1.5254,1.2839,48258.0,66170.0,27.75,17.86,0,,,,
7418,ORCZ,ETF,15.36,976721.0,ETF,ETF,1.0,42.0,,,976721.0,NO,42,0.0,YES,2026-09-11,976721.0,NO,1.4654,1.2011,96963.0,174080.0,29.82,11.97,0,,,,
