Rank,Ticker,Type,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,Latest Volume,9M+ Volume,History_Days,Gap (%),HVE,HVE Date,HVE Volume,IPO,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,SMA50,SMA200,SMA10W,SMA30W
793,FAI,ETF,53.15,984760,ETF,ETF,88.0,24.0,91.0,84.0,984760,NO,399,1.5,YES,2026-06-29,984760.0,NO,1.9794,1.6696,29616.0,21890.0,58.27,34.42,0,50.73,43.05,51.94,44.28
844,PATN,ETF,36.62,288732,ETF,ETF,87.0,37.0,85.0,87.0,288732,NO,446,0.0,YES,2026-06-29,288732.0,NO,1.2604,0.9666,67395.0,107400.0,38.85,23.01,0,34.9,29.79,35.55,31.38
1008,ASTG,ETF,20.06,9597,ETF,ETF,85.0,,,,9597,NO,5,19.97,YES,2026-06-29,9597.0,NO,,,914.0,914.0,20.06,14.88,0,,,,
1952,TEMR,ETF,28.73,8128,ETF,ETF,72.0,31.0,77.0,,8128,NO,75,0.0,YES,2026-06-29,8128.0,NO,0.5114,0.1207,993.0,1360.0,30.28,23.18,0,28.24,,28.46,
2136,LST,ETF,46.36,1738071,ETF,ETF,70.0,53.0,66.0,68.0,1738071,NO,361,0.2,YES,2026-06-29,1738071.0,NO,0.8087,0.7204,24301.0,27540.0,47.28,36.03,0,45.34,41.88,45.73,43.0
2232,EGGY,ETF,41.9,161456,ETF,ETF,69.0,72.0,85.0,68.0,161456,NO,375,0.0,YES,2026-06-29,161456.0,NO,2.3701,1.7993,53519.0,91470.0,45.95,29.14,0,39.64,37.09,40.18,36.19
3320,VUSG,ETF,63.44,777483,ETF,ETF,54.0,21.0,71.0,42.0,777483,NO,152,1.05,YES,2026-06-29,777483.0,NO,1.2969,1.0953,29066.0,99110.0,67.02,52.58,0,63.72,,63.9,60.69
4008,SMHC,ETF,65.46,2807725,ETF,ETF,45.0,,,,2807725,NO,4,2.31,YES,2026-06-29,2807725.0,NO,,,45966.0,45966.0,65.56,60.25,0,,,,
4167,SIMX,ETF,26.91,20278,ETF,ETF,43.0,,,,20278,NO,4,0.26,YES,2026-06-29,20278.0,NO,,,5133.0,5133.0,29.0,22.13,0,,,,
4480,LALT,ETF,24.0,5673548,ETF,ETF,39.0,22.0,15.0,46.0,5673548,NO,853,0.17,YES,2026-06-29,5673548.0,NO,0.2791,0.2784,64500.0,103980.0,25.18,21.14,0,24.58,23.73,24.48,24.08
4568,DDDD,ETF,32.02,33643,ETF,ETF,37.0,27.0,36.0,,33643,NO,75,0.0,YES,2026-06-29,33643.0,NO,0.2907,0.2543,4159.0,2950.0,33.04,30.33,0,32.0,,32.18,
4580,FMF,ETF,49.71,1349111,ETF,ETF,37.0,21.0,17.0,50.0,1349111,NO,3245,0.0,YES,2026-06-29,1349111.0,NO,0.5997,0.5126,33282.0,22440.0,52.44,44.98,0,51.27,49.59,51.06,49.93
4752,CVSM,ETF,25.99,14344,ETF,ETF,35.0,57.0,,,14344,NO,29,0.0,YES,2026-06-29,14344.0,NO,0.225,0.0757,960.0,1440.0,26.58,24.98,0,,,,
4889,QNDX,ETF,24.53,401742,ETF,ETF,33.0,,,,401742,NO,4,0.85,YES,2026-06-29,401742.0,NO,,,158033.0,158033.0,24.7,23.8,0,,,,
5089,RWIN,ETF,26.2,4071,ETF,ETF,30.0,43.0,,,4071,NO,57,0.0,YES,2026-06-29,4071.0,NO,0.1829,0.0517,296.0,170.0,26.69,25.47,0,26.14,,26.18,
5104,BKLG,ETF,24.77,1232,ETF,ETF,30.0,,,,1232,NO,5,0.41,YES,2026-06-29,1232.0,NO,,,375.0,375.0,24.77,24.31,0,,,,
5129,DFAL,ETF,49.95,8913,ETF,ETF,30.0,,,,8913,NO,5,0.38,YES,2026-06-29,8913.0,NO,,,709.0,709.0,49.95,49.44,0,,,,
5140,FREI,ETF,25.1,1555,ETF,ETF,30.0,,,,1555,NO,7,0.0,YES,2026-06-29,1555.0,NO,,,233.0,233.0,25.14,24.86,0,,,,
5323,CIEI,ETF,25.14,127806,ETF,ETF,27.0,,,,127806,NO,17,0.0,YES,2026-06-29,127806.0,NO,0.0619,0.0136,6406.0,6250.0,25.17,24.93,0,,,,
5512,SGVA,ETF,100.18,1003680,ETF,ETF,25.0,,,,1003680,NO,12,0.0,YES,2026-06-29,1003680.0,NO,,,16181.0,17740.0,100.19,100.01,0,,,,
6027,CVGD,ETF,25.0,7032,ETF,ETF,18.0,33.0,,,7032,NO,29,0.0,YES,2026-06-29,7032.0,NO,0.1607,0.0275,728.0,840.0,26.3,24.77,0,,,,
6929,DRAL,ETF,20.69,282628,ETF,ETF,6.0,,,,282628,NO,3,0.0,YES,2026-06-29,282628.0,NO,,,236150.0,236150.0,25.52,17.72,0,,,,
7222,LITU,ETF,21.52,222055,ETF,ETF,2.0,8.0,,,222055,NO,26,0.0,YES,2026-06-29,222055.0,NO,3.9461,3.5846,109780.0,114740.0,34.1,16.84,0,,,,
7244,SPCM,ETF,23.98,3142294,ETF,ETF,2.0,,,,3142294,NO,10,5.94,YES,2026-06-29,3142294.0,NO,,,1447711.0,1447711.0,46.71,19.33,0,,,,
7260,CBRZ,ETF,18.0,495636,ETF,ETF,1.0,,,,495636,NO,21,0.0,YES,2026-06-29,495636.0,NO,5.9714,5.6607,112400.0,128720.0,37.43,16.7,0,,,,
