Rank,Industry,Sector,Relative Strength,Relative Strength Percentile,1 Month Ago,3 Months Ago,6 Months Ago,Ticker
17,Aerospace & Defense,Industrials,123.08,88,122.25,114.2,125.51,"RKLB,PL,ISSC,KTOS,DPRO,ACHR,EVEX,OPXS,ATRO,ESLT,HWM,LUNR,AVAV,KRMN,RDW,TATT,AXON,DCO,DRS,CW,WWD,GE,TGI,BYRN,BA,CAE,HEI,RTX,PKE,AIR,EH,VSEC,MRCY,NPK,BWXT,ERJ,EVTL,LHX,NOC,SPR,TDG,HII,GD,CODA,HXL,TXT,POWWP,SARO,AIRO,CDRE,LOAR,VVX,RGR,LMT,VOYG,SWBI,PEW"
18,Electronic Components,Technology,119.66,88,118.25,107.25,110.66,"NEON,OUST,CLS,TTMI,ALNT,JBL,APH,KULR,FLEX,LINK,TEL,BELFB,FN,OSIS,SANM,GLW,DAKT,BELFA,ELTK,LYTS,KN,LFUS,RELL,VICR,OLED,BHE,CTS,PLXS,MPTI,ROG,MEI,GAUZ,HOLO"
19,Luxury Goods,Consumer Cyclical,118.51,87,106.52,101.28,144.85,"SORA,TPR,REAL,SIG,LUXE,ELA,MOV,CPRI"
20,Communication Equipment,Technology,117.75,86,122.21,117.01,129.04,"ASTS,COMM,TSAT,AAOI,FEIM,UI,LITE,BKTI,BOSC,GILT,VSAT,CIEN,EXTR,CLFD,ADTN,CSCO,NTGR,BDC,DGII,AVNW,ZBRA,HPE,VIAV,SILC,AUDC,MSI,ERIC,AIRG,HLIT,INSG,CLRO"
21,Software - Infrastructure,Technology,116.79,86,119.13,112.98,120.09,"AEVA,ARQQ,TAOX,CRWV,PDYN,PGY,PAYS,PLTR,VHC,GRRR,ATGL,JG,ZENA,NET,SUPX,AISP,RBRK,ALLT,ODD,AMBR,TWLO,ORCL,BKKT,AFRM,NYAX,TOST,CALX,NN,ZS,BASE,CTLP,KPLT,VRSN,CORZ,YEXT,MQ,CRWD,RDWR,AVPT,GCT,FFIV,FTNT,MSFT,SNPS,FOUR,EXOD,CSGS,NTNX,DLO,XYZ,ATEN,GEN,CYBR,IIIV,GB,RAMP,VRNS,TCX,STNE,CHKP,PANW,ALAR,INFA,CFLT,CGNT,BOX,MDB,NTCT,WEX,OKTA,PAY,EVCM,AVDX,QLYS,EEFT,SAIL,KVYO,DOX,CCSI,DBX,CPAY,AI,PRTH,PATH,EVTC,OS,VRNT,SANG,RELY,BAND,OSPN,GDDY,BLZE,ZETA,FLYW,FIVN,PAYO,CINT,APPN,ACIW,S,IOT,ARAI,AKAM,GTLB,PAGS,TENB,WIX,PRGS,RPAY,KSPI,DOCN,TDC,CLBT,SNCR,PSFE,RPD,FATN,DAVA,IMXI,MLGO"
22,Semiconductors,Technology,115.94,85,113.69,88.55,102.64,"ALMU,NVTS,CRDO,LASR,WKEY,ALAB,POET,PXLW,AVGO,ALGM,GSIT,NVDA,SMTC,SIMO,AMD,TSM,HIMX,MCHPP,MXL,RMBS,SKYT,MTSI,MU,SLAB,AIP,ARM,MCHP,SITM,TSEM,MRAM,ASX,ON,ADI,UMC,VSH,QRVO,NXPI,MRVL,MPWR,TXN,STM,LSCC,GFS,DIOD,AOSL,PI,INTC,QCOM,SYNA,CRUS,IMOS,QUIK,NVEC,SWKS,CEVA,POWI"
23,Gold,Basic Materials,115.5,84,128.15,137.24,99.24,"CNL,CMCL,SSRM,ORLA,ARMN,AU,AAUC,CDE,USAU,SAND,KGC,WPM,IDR,OR,NG,AEM,GFI,FSM,CTGO,IAG,NEM,PAAS,SA,DRD,HMY,AGI,EGO,B,FNV,CGAU,EQX,AUGO,RGLD,BGL,NAMM"
24,Education & Training Services,Consumer Defensive,115.21,84,128.66,116.79,115.86,"QSG,LGCY,COE,STG,FEDU,LINC,DAO,APEI,UTI,LRN,LAUR,ATGE,PRDO,COUR,LOPE,GHC,TAL,UDMY,STRA,AFYA,EDU,SKIL,FC,KLC"
25,Coking Coal,Basic Materials,114.63,83,77.71,84.85,72.37,"METC,METCB,HCC,SXC,AMR"
26,Consulting Services,Industrials,114.55,82,120.17,86.1,129.61,"DGNX,HURN,VRSK,CRAI,EFX,FCN,EGG,BAH,FORR,ICFI,RGP"
