Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
10,DLLL,29.3,29.73,640300,ETF,ETF,98.0,97.0,98.0,98.0,3.8377,3.1768,2514762.0,1461180.0,32.1,2.17,,0,NO,23.91,23.3,9.66,23.06,12.42,376,0.0,640300,NO,NO,2026-05-28,15772800.0,-8.72
16,AEHR,134.06,123.3,3267165,Technology,Semiconductor Equipment & Materials,98.0,98.0,91.0,98.0,13.7943,12.2293,2493209.0,2481390.0,147.4,16.38,,4373097472,NO,95.88,93.43,57.35,93.26,70.7,7294,8.36,3267995,NO,NO,2021-07-19,139700300.0,-9.05
19,ORKA,111.04,108.12,1034131,Healthcare,Biotechnology,98.0,96.0,97.0,98.0,5.6336,5.4414,1291803.0,720230.0,111.37,14.08,,7351925248,NO,96.43,84.5,51.76,89.74,62.45,7296,0.0,1034131,NO,NO,2026-04-29,7921000.0,-0.3
24,SYRE,103.63,101.85,557243,Healthcare,Biotechnology,98.0,85.0,93.0,98.0,6.2468,5.9258,1275922.0,756000.0,108.14,14.51,,9137446912,NO,101.27,92.02,55.25,95.38,67.55,2601,0.0,557243,NO,NO,2023-06-22,10228380.0,-4.17
27,MU,971.66,949.83,27609119,Technology,Semiconductors,98.0,89.0,90.0,97.0,75.0478,63.0314,50361219.0,37022150.0,1255.0,113.46,,0,NO,890.05,960.72,552.6,964.49,667.37,10633,0.0,27609119,YES,NO,2013-10-11,153906100.0,-22.58
29,TXG,56.09,58.15,2007020,Healthcare,Health Information Services,98.0,95.0,98.0,98.0,3.6879,3.6057,3278814.0,3630970.0,60.69,11.16,,7308031488,NO,49.84,41.74,25.37,42.75,28.94,1740,0.0,2007020,NO,NO,2025-06-27,17909500.0,-7.58
34,DELL,490.81,494.51,3574867,Technology,Computer Hardware,98.0,95.0,98.0,98.0,35.8408,30.1279,8706300.0,5964050.0,514.0,110.22,,317133160448,NO,436.13,422.14,229.82,421.76,272.4,2512,0.0,3574867,NO,NO,2016-09-07,147907159.0,-4.51
38,TWST,118.57,125.29,1140524,Healthcare,Diagnostics & Research,98.0,96.0,98.0,98.0,8.8221,8.2447,1795353.0,1858470.0,126.4,23.3,,7435219456,NO,102.85,92.26,55.87,96.31,66.66,1953,0.0,1140524,NO,NO,2022-11-15,7568500.0,-6.19
40,LITE,926.14,880.41,4224373,Technology,Communication Equipment,98.0,96.0,11.0,94.0,89.0531,77.7381,5411414.0,5730840.0,1085.68,111.2,,82056003584,NO,797.99,813.68,635.61,814.49,764.64,2782,1.31,4224373,NO,NO,2026-03-20,22868800.0,-14.69
43,ETON,58.86,40.8,2290717,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,98.0,98.0,98.0,4.0031,2.9052,472264.0,457440.0,59.69,14.27,,1612314240,NO,44.33,37.83,24.61,41.13,28.99,1944,33.32,2290717,NO,NO,2023-08-11,15757000.0,-1.39
44,DFTX,42.63,43.9,1702162,Healthcare,Biotechnology,98.0,10.0,98.0,98.0,2.8857,2.7143,3004111.0,2759440.0,49.7,8.7,,5728062976,NO,43.43,39.42,22.66,40.52,26.7,2449,0.0,1702162,NO,NO,2024-03-07,38010300.0,-14.23
45,MBX,68.57,67.08,503134,Healthcare,Biotechnology,98.0,93.0,98.0,96.0,4.0761,4.0154,784783.0,456610.0,72.64,9.63,,3302337792,NO,64.47,53.74,37.11,57.75,41.25,479,0.0,503134,NO,NO,2025-09-22,28303500.0,-5.6
46,STX,973.44,921.37,5231374,Technology,Computer Hardware,98.0,96.0,88.0,97.0,77.1471,66.0614,4705262.0,4881880.0,1145.0,152.05,,220624830464,NO,848.91,889.06,550.11,891.33,659.36,5956,2.16,5231374,NO,NO,2012-06-29,89629700.0,-14.98
49,RVMD,203.71,202.0,771828,Healthcare,Biotechnology,98.0,85.0,94.0,97.0,7.7411,7.2411,2598808.0,1624290.0,208.76,35.42,,43662471168,NO,192.64,179.01,120.87,185.15,140.33,1631,0.0,771828,NO,NO,2025-06-27,26439100.0,-2.42
50,DNTH,115.96,109.6,830243,Healthcare,Biotechnology,98.0,93.0,94.0,97.0,5.9929,5.9371,1056811.0,758900.0,116.45,19.84,,6486150144,NO,107.7,97.22,70.44,99.31,82.68,2048,0.0,837345,NO,NO,2025-09-08,5974200.0,-0.42
