Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
5,DLLL,36.79,29.79,3111784.0,ETF,ETF,98.0,97.0,98.0,98.0,3.6843,3.4258,1780690.0,3365030.0,36.96,2.17,,0,NO,27.46,25.09,11.89,26.23,16.0,395,4.5,3111784.0,NO,NO,2026-05-28,15772800.0,-0.46
6,ZCSH,94.4,90.04,810316.0,ETF,ETF,98.0,98.0,98.0,98.0,7.8046,5.2366,150037.0,559950.0,104.0,4.12,,0,NO,65.99,47.58,31.84,51.33,34.54,1230,2.39,810316.0,NO,NO,2026-09-08,1113300.0,-9.23
15,MRNA,143.97,136.62,15257896.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,11.9979,11.2356,16111237.0,16685740.0,176.66,22.28,,57477992448,NO,133.4,91.04,57.13,93.41,66.65,1950,1.08,15257896.0,YES,NO,2026-08-19,199252300.0,-18.5
19,TXG,68.59,66.38,1826095.0,Healthcare,Medical Devices,98.0,96.0,98.0,98.0,3.6341,3.5216,3121533.0,2313510.0,69.67,11.16,,8936671232,NO,62.89,53.2,29.95,54.6,34.89,1759,1.46,1826095.0,NO,NO,2025-06-27,17909500.0,-1.55
28,TWST,127.22,126.85,1108611.0,Healthcare,Biotechnology,98.0,81.0,98.0,98.0,8.665,8.4507,1759553.0,1458930.0,155.44,23.3,,8434835456,NO,134.16,113.0,66.76,113.95,78.55,1975,0.0,1108611.0,NO,NO,2022-11-15,7568500.0,-18.15
29,DELL,567.29,506.62,14294660.0,Technology,Computer Hardware,98.0,95.0,96.0,98.0,32.9236,30.6796,7509288.0,12021350.0,567.75,110.22,,360690188288,NO,479.37,448.9,261.76,460.85,323.11,2531,2.26,14309191.0,YES,NO,2016-09-07,147907159.0,-0.08
30,MU,975.26,977.41,21296514.0,Technology,Semiconductors,98.0,90.0,31.0,98.0,44.1493,38.7343,41234393.0,25941410.0,1255.0,153.21,,1101452017664,NO,962.81,928.61,622.07,931.3,743.06,10652,0.0,21296514.0,YES,NO,2013-10-11,153906100.0,-22.29
36,ORKA,92.38,91.65,585299.0,Healthcare,Biotechnology,98.0,4.0,95.0,98.0,5.2071,5.0771,1147311.0,704580.0,115.52,14.67,,6116451840,NO,99.02,95.31,59.48,96.2,70.75,7318,0.0,585299.0,NO,NO,2026-04-29,7921000.0,-20.03
38,PLSE,53.11,54.43,664031.0,Healthcare,Medical Instruments & Supplies,98.0,96.0,98.0,98.0,4.1117,4.0656,454090.0,775400.0,58.9,12.56,,3787943680,NO,49.87,39.87,24.87,41.16,29.02,2594,0.0,664031.0,NO,NO,2022-09-26,4339700.0,-9.83
43,ETON,57.08,57.88,323238.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,98.0,98.0,98.0,2.8268,2.7875,555153.0,501480.0,66.37,14.27,,1631525504,NO,60.79,49.5,29.11,51.02,34.8,1966,0.0,323238.0,NO,NO,2023-08-11,15757000.0,-14.0
