Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
3,ZCSH,123.47,124.69,585840.0,ETF,ETF,98.0,98.0,98.0,98.0,10.2736,7.5044,262679.0,793130.0,131.72,4.12,,0,NO,97.01,63.14,36.12,67.76,41.51,1240,0.0,585840.0,NO,NO,2026-09-17,1509200.0,-6.26
6,TJGC,26.24,28.2,105031.0,Communication Services,Advertising Agencies,98.0,98.0,98.0,98.0,2.7805,2.7784,1120273.0,1635830.0,30.69,1.46,,265024608,NO,13.84,8.43,4.8,9.73,6.02,422,0.0,105031.0,NO,NO,2025-06-03,14731900.0,-14.5
9,DLLL,35.67,32.48,3267189.0,ETF,ETF,98.0,98.0,97.0,98.0,3.9749,3.4744,1846998.0,2346860.0,40.21,2.17,,0,NO,32.44,27.42,13.49,28.94,18.21,405,3.45,3267189.0,NO,NO,2026-05-28,15772800.0,-11.29
10,SNDK,1777.8,1753.62,7213004.0,Technology,Computer Hardware,98.0,96.0,8.0,98.0,100.0974,89.9938,13700217.0,9880840.0,2354.39,94.39,,260303716352,NO,1663.79,1516.76,1107.91,1552.87,1388.96,406,0.0,7213004.0,NO,NO,2025-11-26,43000900.0,-24.49
14,MRNA,198.88,194.82,13734782.0,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,11.7332,11.0975,16929880.0,16235290.0,202.67,22.28,,79400042496,NO,155.69,110.11,64.26,115.69,74.96,1960,0.27,13734782.0,YES,NO,2026-08-19,199252300.0,-1.87
17,AMDL,84.22,83.9,1642343.0,ETF,ETF,98.0,98.0,93.0,98.0,6.0489,4.8177,2961357.0,2688430.0,86.43,9.73,,0,NO,60.83,57.02,38.39,58.26,48.15,634,0.0,1642343.0,NO,NO,2025-10-06,106498200.0,-2.56
21,TXG,85.71,84.11,3390545.0,Healthcare,Medical Devices,98.0,97.0,98.0,98.0,5.442,5.2227,3090287.0,3209550.0,86.16,11.16,,11167255552,NO,70.77,60.37,32.91,62.19,38.91,1769,0.0,3390545.0,NO,NO,2025-06-27,17909500.0,-0.52
23,TWST,182.83,184.03,2694325.0,Healthcare,Biotechnology,98.0,96.0,98.0,98.0,11.5704,11.0325,1735696.0,2326620.0,186.2,23.3,,12121843712,NO,144.94,126.28,73.17,130.48,87.03,1985,0.0,2694325.0,NO,NO,2022-11-15,7568500.0,-1.81
29,MXL,93.84,85.31,4282233.0,Technology,Semiconductors,98.0,98.0,36.0,98.0,6.6329,5.7629,3289580.0,3195570.0,128.3,12.77,,8510648832,NO,71.89,71.44,51.72,73.88,66.62,4153,2.33,4282233.0,NO,NO,2026-04-24,29044000.0,-26.86
32,MU,1082.28,1080.53,20493572.0,Technology,Semiconductors,98.0,95.0,29.0,98.0,44.5707,36.4293,36484449.0,24836350.0,1255.0,155.18,,1222319669248,NO,994.14,941.62,661.1,958.28,784.98,10662,0.0,20493572.0,YES,NO,2013-10-11,153906100.0,-13.76
