Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
13,DLLL,25.16,25.03,1041710.0,ETF,ETF,98.0,93.0,6.0,98.0,2.7056,2.5058,1879225.0,914250.0,32.1,2.17,,0,NO,25.71,23.97,10.78,23.93,14.63,387,0.0,1041710,NO,NO,2026-05-28,15772800.0,-21.62
16,MRNA,140.34,137.99,18498650.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,20.3581,14.5765,14823539.0,54793460.0,176.66,22.28,,56028766208,NO,99.3,78.32,52.33,86.47,63.08,1942,0.0,18498650,YES,NO,2026-08-19,199252300.0,-20.56
20,TWST,139.0,141.38,1891915.0,Healthcare,Diagnostics & Research,98.0,97.0,98.0,98.0,9.655,8.5886,1786395.0,1774200.0,155.44,23.3,,8716332032,NO,129.84,107.75,62.75,112.58,76.42,1967,0.0,1891915,NO,NO,2022-11-15,7568500.0,-10.58
22,MU,958.73,932.86,22344863.0,Technology,Semiconductors,98.0,91.0,13.0,97.0,50.895,41.59,45365950.0,26423080.0,1255.0,114.25,,1082783105024,NO,927.34,951.5,592.01,925.54,722.35,10644,0.0,22344863,YES,NO,2013-10-11,153906100.0,-23.61
26,ORKA,92.62,91.15,1237292.0,Healthcare,Biotechnology,98.0,12.0,98.0,98.0,5.6693,5.4907,1209128.0,813830.0,115.52,14.67,,6132342784,NO,103.06,94.75,56.91,95.5,68.74,7310,0.0,1237292,NO,NO,2026-04-29,7921000.0,-19.82
28,ETON,60.44,59.78,767997.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,95.0,98.0,98.0,4.4193,3.5079,536434.0,680860.0,66.37,14.27,,1727564672,NO,54.63,45.63,27.41,49.26,33.53,1958,0.0,767997,NO,NO,2023-08-11,15757000.0,-8.93
29,TXG,62.45,61.54,2655174.0,Healthcare,Health Information Services,98.0,95.0,98.0,98.0,3.7266,3.5162,3256423.0,3025520.0,66.94,11.16,,8136683520,NO,58.42,48.63,28.02,51.63,33.2,1751,0.0,2655174,NO,NO,2025-06-27,17909500.0,-6.71
46,SYRE,89.33,90.36,1795642.0,Healthcare,Biotechnology,98.0,5.0,93.0,97.0,5.5297,4.6265,1303093.0,1183260.0,110.17,14.51,,7876561920,NO,102.59,98.49,60.7,97.98,73.68,2615,0.0,1795642,NO,NO,2023-06-22,10228380.0,-18.92
48,LITE,914.76,895.0,3202640.0,Technology,Communication Equipment,98.0,95.0,50.0,79.0,74.2455,67.5705,5149036.0,4296390.0,1085.68,125.0,,82053971968,NO,880.68,815.55,672.66,823.29,811.09,2793,0.03,3202640,NO,NO,2026-03-20,22868800.0,-15.74
54,RVMD,205.57,207.88,2259509.0,Healthcare,Biotechnology,98.0,85.0,93.0,97.0,8.6626,8.486,2464765.0,2095100.0,224.31,37.88,,44061138944,NO,207.7,193.65,131.19,197.08,150.54,1645,0.0,2259509,NO,NO,2025-06-27,26439100.0,-8.35
61,MBX,61.6,63.0,518298.0,Healthcare,Biotechnology,98.0,8.0,98.0,96.0,2.9445,2.8374,752685.0,406380.0,72.64,9.63,,2966661888,NO,66.83,61.88,39.99,63.7,43.85,492,0.0,518298,NO,NO,2025-09-22,28303500.0,-15.2
67,DELL,456.01,456.24,7614148.0,Technology,Computer Hardware,98.0,88.0,25.0,98.0,24.3656,22.5685,7373415.0,4648940.0,514.0,110.22,,294647398400,NO,459.3,434.1,246.32,436.74,305.84,2523,0.0,7614148,NO,NO,2016-09-07,147907159.0,-11.28
76,TRAX,41.84,41.86,617887.0,Healthcare,Biotechnology,98.0,10.0,98.0,,2.8186,2.8186,764188.0,551720.0,49.91,14.72,,1494978560,NO,44.57,36.17,,38.78,,103,0.0,617887,NO,NO,2026-07-09,4512600.0,-16.17
79,LIFE,36.33,38.64,1131376.0,Financial Services,Insurance Brokers,97.0,98.0,98.0,98.0,2.585,2.585,917769.0,1489250.0,40.97,9.45,,3481811200,NO,34.18,25.07,,27.2,19.47,148,0.0,1131376,NO,NO,2026-08-04,5332100.0,-11.33
80,LABU,296.31,295.76,259213.0,ETF,ETF,97.0,95.0,97.0,96.0,24.9624,20.7803,515117.0,442030.0,341.93,71.88,,0,NO,294.11,277.99,196.28,279.89,211.66,2832,0.0,259213,NO,NO,2025-04-09,7938800.0,-13.34
82,DNTH,105.61,105.84,459375.0,Healthcare,Biotechnology,97.0,22.0,89.0,97.0,4.7246,4.5968,1046374.0,570220.0,117.88,23.39,,5907229696,NO,111.03,103.81,74.63,105.58,88.22,2059,0.0,459375,NO,NO,2025-09-08,5974200.0,-10.41
91,VSXY,85.41,87.85,2129882.0,Consumer Cyclical,Apparel Retail,97.0,13.0,97.0,92.0,3.9787,3.7537,2003793.0,1233780.0,102.46,22.02,,6789388288,NO,89.77,85.71,62.0,85.5,66.7,1284,0.0,2129882,NO,NO,2024-03-07,25901500.0,-16.64
98,PBF,72.99,71.28,3759509.0,Energy,Oil & Gas Refining & Marketing,97.0,48.0,98.0,96.0,4.1829,4.1207,2871649.0,2283950.0,75.68,25.62,,8652004352,NO,69.4,61.15,43.55,64.9,49.22,3448,0.0,3759509,NO,NO,2022-11-30,33081200.0,-3.55
116,DK,74.34,72.25,2686690.0,Energy,Oil & Gas Refining & Marketing,97.0,85.0,97.0,96.0,4.1893,4.1129,1292755.0,1636340.0,75.24,25.85,,4551999488,NO,66.47,61.19,44.34,64.44,50.04,5113,2.27,2686690,NO,NO,2014-05-15,9035100.0,-1.2
126,RNG,69.62,69.38,1466054.0,Technology,Software - Application,97.0,94.0,96.0,97.0,2.9143,2.8214,1866488.0,1368030.0,70.43,24.14,,5813699072,NO,65.19,51.79,38.91,56.05,44.79,3250,0.0,1466054,NO,NO,2026-02-11,15343500.0,-1.15
129,CORT,113.35,113.88,636458.0,Healthcare,Biotechnology,97.0,23.0,97.0,98.0,3.9682,3.9489,1086853.0,818210.0,126.38,28.66,,12252953600,NO,115.54,101.63,66.1,105.72,69.84,5631,0.0,636458,NO,NO,2020-09-02,88404100.0,-10.31
