Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,Earning_Date,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKH
1,MUU,902.1,4272887.0,ETF,ETF,99.0,99.0,99.0,99.0,192.0727,138.2705,3112806.0,3415570.0,1235.0,16.73,0,,611.49,240.55,674.78,329.73,-26.96
3,INTW,362.95,531361.0,ETF,ETF,99.0,85.0,99.0,99.0,58.0611,46.5225,841732.0,785570.0,421.0,13.74,0,,270.04,107.24,296.98,140.05,-13.79
7,SNDK,1914.46,9221381.0,Technology,Computer Hardware,99.0,99.0,99.0,99.0,215.3441,164.5423,14353533.0,11506970.0,2354.39,40.1,283511914496,,1497.59,654.42,1637.97,897.23,-18.69
17,SOXL,229.57,53551166.0,ETF,ETF,99.0,91.0,99.0,99.0,46.1633,33.3261,70605453.0,64160040.0,302.0,22.57,0,,182.37,82.19,196.39,103.32,-23.98
21,AMDL,66.74,3289185.0,ETF,ETF,99.0,81.0,99.0,99.0,9.7879,7.9924,9936093.0,4757740.0,78.71,7.5,0,,51.51,24.63,56.67,29.05,-15.21
23,MXL,84.99,2195827.0,Technology,Semiconductors,99.0,35.0,99.0,99.0,9.5486,8.705,4682783.0,3255890.0,106.28,12.77,7610510848,,77.55,32.25,87.04,41.33,-20.03
27,MU,1048.51,57301842.0,Technology,Semiconductors,99.0,98.0,99.0,99.0,110.0336,80.1429,50893654.0,54289640.0,1213.56,103.38,1182440357888,2026-06-24,788.62,420.85,842.56,525.26,-13.6
31,WDC,643.83,11521792.0,Technology,Computer Hardware,99.0,97.0,98.0,99.0,62.0886,47.2843,8015943.0,10731110.0,799.87,62.13,221916708864,,506.48,277.91,530.93,344.66,-19.51
35,BE,326.19,8193652.0,Industrials,Electrical Equipment & Parts,99.0,73.0,98.0,99.0,30.4191,26.9677,10574777.0,11944200.0,349.99,21.5,92782747648,,272.93,159.5,280.81,184.97,-6.8
46,BEX,74.49,768117.0,ETF,ETF,99.0,22.0,99.0,99.0,12.5776,11.0234,882714.0,833730.0,86.12,7.2,0,,58.13,,60.2,33.8,-13.5
51,AEHR,95.2,1456358.0,Technology,Semiconductor Equipment & Materials,99.0,13.0,99.0,99.0,13.7511,12.0404,3001925.0,1631130.0,126.62,11.61,2994349568,,96.96,46.77,99.41,56.02,-24.81
52,STX,993.25,4068040.0,Technology,Computer Hardware,99.0,95.0,98.0,99.0,80.965,69.545,4107224.0,4921060.0,1145.0,136.28,224724910080,,802.79,438.91,845.79,532.03,-13.25
55,VICR,322.28,643448.0,Technology,Electronic Components,99.0,46.0,97.0,99.0,28.9271,25.0829,843343.0,740400.0,369.4,41.76,14689976320,,285.99,161.01,291.26,198.07,-12.76
57,INTC,131.65,101683749.0,Technology,Semiconductors,99.0,86.0,99.0,99.0,11.3871,9.1486,134774574.0,148808690.0,141.45,18.97,661672820736,,107.12,57.71,114.1,68.71,-6.93
58,ORKA,82.09,1298710.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,5.4164,4.7729,1669440.0,1565740.0,91.0,10.83,4951020032,,66.37,40.07,66.63,47.31,-9.79
61,LITE,842.53,4075390.0,Technology,Communication Equipment,99.0,21.0,68.0,97.0,78.2482,75.1325,6055075.0,5959430.0,1085.68,88.37,65548836864,,903.79,526.71,900.51,663.59,-22.4
62,ICHR,89.38,857082.0,Technology,Semiconductor Equipment & Materials,99.0,97.0,97.0,99.0,8.3822,6.9572,990554.0,1238540.0,101.65,13.12,3116417024,,73.57,39.99,76.69,49.88,-12.07
65,VPG,133.39,488997.0,Technology,Scientific & Technical Instruments,99.0,88.0,99.0,99.0,12.2357,11.5929,469909.0,591030.0,148.39,25.58,1774220416,,98.05,54.33,105.69,64.66,-10.11
68,VSH,55.59,6321351.0,Technology,Semiconductors,99.0,95.0,99.0,99.0,6.8293,6.075,5671491.0,9017130.0,69.47,11.77,7566123008,,43.69,23.46,47.0,27.68,-19.98
71,UCTT,108.42,1252527.0,Technology,Semiconductor Equipment & Materials,99.0,98.0,97.0,99.0,10.1536,8.2625,1108440.0,1317440.0,125.0,21.28,4860290048,,88.79,51.6,93.32,63.12,-13.26
72,SYRE,86.24,4033208.0,Healthcare,Biotechnology,99.0,95.0,98.0,98.0,6.3757,5.245,1271711.0,1667510.0,102.06,14.0,7489189888,,75.57,42.41,76.81,51.95,-15.5
73,NEBX,53.1,961512.0,ETF,ETF,99.0,98.0,99.0,99.0,11.1629,10.4914,2359820.0,2077700.0,70.77,6.62,0,,37.9,20.64,40.06,21.66,-24.97
