Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
4,ZCSH,95.99,94.4,426613.0,ETF,ETF,98.0,98.0,98.0,98.0,7.1115,5.1659,163048.0,611920.0,104.0,4.12,,0,NO,68.92,48.91,32.16,57.05,37.16,1231,0.0,426613.0,NO,NO,2026-09-08,1113300.0,-7.7
5,DLLL,32.56,36.79,2062982.0,ETF,ETF,98.0,93.0,97.0,98.0,3.8624,3.4204,1803029.0,3563690.0,36.97,2.17,,0,NO,27.62,25.33,12.04,26.99,17.0,396,0.0,2062982.0,NO,NO,2026-05-28,15772800.0,-11.93
13,MRNA,146.69,143.97,10542035.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,11.486,10.7237,16277654.0,15726220.0,176.66,22.28,,58563915776,NO,137.57,92.38,57.74,101.25,69.87,1951,0.72,10542035.0,YES,NO,2026-08-19,199252300.0,-16.96
18,TXG,70.11,68.59,3361418.0,Healthcare,Medical Devices,98.0,96.0,98.0,98.0,3.7414,3.6886,3118658.0,2263020.0,70.46,11.16,,9134713856,NO,63.59,53.83,30.2,57.34,36.6,1760,0.0,3361418.0,NO,NO,2025-06-27,17909500.0,-0.5
20,TWST,134.75,127.22,1803587.0,Healthcare,Biotechnology,98.0,91.0,98.0,98.0,9.1371,8.9357,1735303.0,1444570.0,155.44,23.3,,8934083584,NO,134.97,113.71,67.29,118.36,81.42,1976,0.0,1803587.0,NO,NO,2022-11-15,7568500.0,-13.31
28,PLSE,54.21,53.11,505750.0,Healthcare,Medical Instruments & Supplies,98.0,96.0,98.0,98.0,4.1189,4.0785,458300.0,815820.0,58.9,12.56,,3866398464,NO,50.35,40.37,25.07,43.95,30.11,2595,0.0,505750.0,NO,NO,2022-09-26,4339700.0,-7.96
30,DELL,534.28,567.29,9119604.0,Technology,Computer Hardware,98.0,92.0,95.0,98.0,33.9143,30.17,7644353.0,13000400.0,567.75,110.22,,339702054912,NO,481.55,451.7,263.79,470.78,336.84,2532,0.0,9119604.0,YES,NO,2016-09-07,147907159.0,-5.9
32,ORKA,95.93,92.38,773834.0,Healthcare,Biotechnology,98.0,8.0,95.0,98.0,5.0486,4.9579,1144146.0,701650.0,115.52,14.67,,6351496704,NO,98.26,95.52,59.81,97.12,72.87,7319,0.19,773834.0,NO,NO,2026-04-29,7921000.0,-16.96
36,MU,924.03,975.26,26979663.0,Technology,Semiconductors,98.0,42.0,18.0,97.0,43.6843,37.3607,40929053.0,25242970.0,1255.0,154.65,,1043593166848,NO,960.43,927.58,625.57,925.77,759.59,10653,0.0,26979663.0,YES,NO,2013-10-11,153906100.0,-26.37
39,ETON,57.62,57.08,341458.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,98.0,98.0,98.0,2.7121,2.6543,557037.0,489250.0,66.37,14.27,,1646960256,NO,60.73,49.9,29.32,53.12,36.12,1967,0.0,341458.0,NO,NO,2023-08-11,15757000.0,-13.18
45,SYRE,90.8,90.6,1101142.0,Healthcare,Biotechnology,98.0,9.0,85.0,97.0,5.0341,4.1145,1304004.0,1187130.0,110.17,14.51,,8006177792,NO,95.81,98.19,63.61,97.65,77.05,2624,0.0,1101142.0,NO,NO,2023-06-22,10228380.0,-17.58
56,RVMD,205.11,203.77,1270689.0,Healthcare,Biotechnology,98.0,83.0,95.0,97.0,8.3566,8.2459,2237291.0,1524320.0,224.31,42.18,,43962544128,NO,210.2,198.56,137.41,200.8,157.71,1654,0.0,1270689.0,NO,NO,2025-06-27,26439100.0,-8.56
70,LITE,835.03,927.03,4895217.0,Technology,Communication Equipment,98.0,24.0,12.0,88.0,61.0996,55.2949,4779809.0,3942390.0,1085.68,144.52,,74902192128,NO,898.49,828.58,702.03,843.11,827.69,2802,0.0,4895217.0,NO,NO,2026-03-20,22868800.0,-23.09
74,RNG,72.32,68.92,1974147.0,Technology,Software - Application,98.0,90.0,98.0,97.0,3.1,2.885,1859229.0,1395230.0,77.95,24.14,,6039165440,NO,68.86,57.91,40.92,62.38,47.3,3259,1.73,1974147.0,NO,NO,2026-02-11,15343500.0,-7.22
81,TRAX,37.57,36.44,397122.0,Healthcare,Biotechnology,97.0,5.0,98.0,,3.0743,2.8171,774579.0,622130.0,49.91,14.72,,1342407808,NO,42.09,40.22,,40.49,,112,0.0,397122.0,NO,NO,2026-07-09,4512600.0,-24.72
83,BE,257.05,275.75,14778529.0,Industrials,Electrical Equipment & Parts,97.0,92.0,41.0,95.0,17.1426,14.7398,15198656.0,13834980.0,351.28,61.37,,75708252160,NO,229.17,225.43,195.48,225.28,225.27,2045,0.0,14778529.0,YES,NO,2024-11-15,64722200.0,-26.82
