Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
12,DLLL,30.86,28.33,4929705.0,ETF,ETF,98.0,93.0,91.0,98.0,3.2856,3.1656,1814631.0,2555940.0,32.78,2.17,,0,NO,25.88,24.1,11.14,24.5,14.82,390,0.0,4950489.0,NO,NO,2026-05-28,15772800.0,-5.86
15,MRNA,148.87,150.81,13077486.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,22.0426,16.2174,15493312.0,40139570.0,176.66,22.28,,59434246144,NO,113.64,83.78,54.22,87.32,63.36,1945,0.0,13217090.0,YES,NO,2026-08-19,199252300.0,-15.73
21,MU,958.16,956.08,23723224.0,Technology,Semiconductors,98.0,85.0,18.0,98.0,47.025,40.3907,44371471.0,23837190.0,1255.0,118.52,,1082139344896,NO,936.35,942.22,602.61,925.48,722.33,10647,0.09,23947014.0,YES,NO,2013-10-11,153906100.0,-23.65
24,TWST,128.71,131.0,1052569.0,Healthcare,Biotechnology,98.0,90.0,98.0,98.0,10.6393,9.555,1806288.0,1698390.0,155.44,23.3,,8071072768,NO,133.25,110.36,64.26,111.55,76.08,1970,0.0,1063400.0,NO,NO,2022-11-15,7568500.0,-17.2
29,TXG,63.22,61.65,2056120.0,Healthcare,Medical Devices,98.0,97.0,98.0,98.0,3.8276,3.6087,3204336.0,2833960.0,66.94,11.16,,8237007872,NO,60.62,50.34,28.7,51.7,33.23,1754,0.91,2170586.0,NO,NO,2025-06-27,17909500.0,-5.56
30,ETON,59.9,61.96,449924.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,98.0,98.0,3.3036,3.2643,548526.0,595210.0,66.37,14.27,,1712129920,NO,56.84,47.27,28.07,49.2,33.52,1961,0.0,462208.0,NO,NO,2023-08-11,15757000.0,-9.75
31,PLSE,54.71,52.68,692563.0,Healthcare,Medical Instruments & Supplies,98.0,97.0,98.0,98.0,2.936,2.8946,410438.0,496490.0,55.33,12.56,,3902059776,NO,47.57,37.44,23.88,38.92,28.06,2589,2.11,701669.0,NO,NO,2022-09-26,4339700.0,-1.12
32,ORKA,90.99,91.63,709956.0,Healthcare,Biotechnology,98.0,11.0,96.0,98.0,5.4137,5.2351,1200287.0,830640.0,115.52,14.67,,6024420352,NO,102.11,95.23,57.87,95.33,68.69,7313,0.0,724558.0,NO,NO,2026-04-29,7921000.0,-21.23
40,DELL,515.94,492.2,18803945.0,Technology,Computer Hardware,98.0,90.0,90.0,98.0,30.1903,29.0631,7518798.0,8885550.0,530.78,110.22,,333370720256,NO,462.6,437.16,251.44,442.78,307.86,2526,0.0,19481604.0,YES,NO,2016-09-07,147907159.0,-2.8
41,CDNA,49.86,49.6,614819.0,Healthcare,Diagnostics & Research,98.0,88.0,98.0,98.0,2.538,2.5144,1129311.0,1207650.0,53.67,12.37,,2579468544,NO,48.28,40.25,24.89,41.85,27.65,3052,0.3,636353.0,NO,NO,2025-07-17,16111000.0,-7.1
