Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
3,SNDK,1915.92,1858.27,10318150.0,Technology,Computer Hardware,98.0,92.0,98.0,98.0,238.8679,176.0461,13449998.0,13189450.0,2354.39,40.1,,283728150528,NO,1982.35,1688.24,745.23,1761.94,996.63,352,0.0,10318150,YES,NO,2025-11-26,43000900,-18.62
10,AMDL,74.53,71.56,2773844.0,ETF,ETF,98.0,96.0,98.0,98.0,9.9637,7.9015,8699283.0,4147760.0,83.79,8.42,,0,NO,69.49,60.46,27.67,63.21,32.53,580,0.0,2773844,NO,NO,2025-10-06,106498200,-11.05
19,BAND,75.48,78.44,958774.0,Technology,Software - Infrastructure,98.0,94.0,98.0,98.0,5.1731,5.1731,1333660.0,1467480.0,79.08,12.5,,2416666624,NO,60.19,57.45,26.15,61.31,32.0,2176,0.0,958774,NO,NO,2022-11-02,11116300,-4.55
21,ABVX,139.9,140.74,791212.0,Healthcare,Biotechnology,98.0,97.0,71.0,62.0,9.8682,7.1412,2074919.0,2903150.0,148.83,8.05,,12193777664,NO,114.35,115.13,113.5,117.12,118.86,681,0.0,791212,NO,NO,2025-07-23,27831900,-6.0
24,MU,979.3,991.64,31054394.0,Technology,Semiconductors,98.0,76.0,98.0,98.0,98.19,71.9579,51531932.0,55726550.0,1255.0,103.38,,1106014765056,NO,1053.56,899.05,464.48,926.03,571.77,10608,0.0,31054394,YES,NO,2013-10-11,153906100,-21.97
27,SYRE,97.74,98.75,775720.0,Healthcare,Biotechnology,98.0,96.0,97.0,98.0,6.3565,5.1943,1495519.0,1795330.0,102.06,14.51,,8487864320,NO,89.69,79.74,46.22,81.26,55.83,2579,0.0,775720,NO,NO,2023-06-22,10228380,-4.23
28,ATEX,100.96,106.86,348047.0,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.3298,7.3298,450504.0,609940.0,111.9,17.58,,1968565760,NO,90.96,71.71,38.82,76.0,47.49,2875,0.0,348047,NO,NO,2020-12-21,3077900,-9.78
34,LITE,802.01,785.77,3552497.0,Technology,Communication Equipment,98.0,15.0,8.0,97.0,68.8159,59.0984,5754970.0,4856860.0,1085.68,90.98,,62396379136,NO,828.55,887.52,557.35,865.89,691.24,2757,0.0,3552497,NO,NO,2026-03-20,22868800,-26.13
35,DFTX,47.07,48.45,2534654.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,4.4351,3.4119,2929209.0,4526130.0,49.2,7.76,,6248224768,NO,38.06,28.67,18.7,29.87,21.65,2424,0.0,2534654,NO,NO,2024-03-07,38010300,-4.33
36,PENG,78.35,81.39,6284295.0,Technology,Information Technology Services,98.0,96.0,98.0,98.0,9.5308,8.7557,3460093.0,5457700.0,89.86,16.04,,4014865408,NO,67.55,56.86,30.06,59.33,33.76,2294,0.0,6284295,NO,NO,2019-01-09,15604200,-12.81
