Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
16,TXG,58.48,58.57,4306932.0,Healthcare,Health Information Services,98.0,97.0,98.0,98.0,3.6407,3.5586,3225400.0,3258250.0,60.69,11.16,,7619427328,NO,47.94,40.15,24.71,42.99,29.02,1737,0.0,4317653,NO,NO,2025-06-27,17909500.0,-3.64
17,ORKA,104.68,105.14,688419.0,Healthcare,Biotechnology,98.0,95.0,97.0,98.0,5.4429,5.335,1302177.0,772200.0,107.55,13.06,,6313169408,NO,94.27,83.63,51.55,88.97,62.2,7296,0.0,688419,NO,NO,2026-04-29,7921000.0,-2.67
20,AEHR,117.18,106.2,2518602.0,Technology,Semiconductor Equipment & Materials,98.0,98.0,80.0,98.0,12.0236,11.08,2498883.0,2400110.0,126.62,16.38,,3822464256,NO,89.2,92.13,55.79,91.57,70.14,7291,0.24,2518602,NO,NO,2021-07-19,139700300.0,-7.46
23,SYRE,102.74,105.33,930925.0,Healthcare,Biotechnology,98.0,86.0,94.0,98.0,5.8583,5.6269,1285925.0,877420.0,108.14,14.51,,8922070016,NO,100.8,91.83,55.2,94.97,67.41,2601,0.0,930925,NO,NO,2023-06-22,10228380.0,-4.99
30,TWST,123.12,124.88,1055722.0,Healthcare,Diagnostics & Research,98.0,97.0,98.0,98.0,8.775,8.2393,1786800.0,1953670.0,125.66,23.3,,7720538112,NO,98.48,90.51,55.43,96.79,66.82,1953,0.0,1055722,NO,NO,2022-11-15,7568500.0,-2.02
39,RVMD,205.55,206.97,1669914.0,Healthcare,Biotechnology,98.0,88.0,95.0,97.0,8.0156,7.8349,2618612.0,1890610.0,208.76,34.21,,44056850432,NO,189.79,177.87,120.58,184.87,140.24,1631,0.0,1669914,NO,NO,2025-06-27,26439100.0,-1.54
40,DFTX,40.91,45.15,3354784.0,Healthcare,Biotechnology,98.0,8.0,98.0,98.0,2.5971,2.5539,2841564.0,1945020.0,49.7,8.7,,5430526464,NO,43.67,38.24,22.2,40.35,26.64,2446,0.0,3354784,NO,NO,2024-03-07,38010300.0,-17.69
44,PRAX,370.68,366.96,306045.0,Healthcare,Biotechnology,98.0,93.0,79.0,79.0,20.457,18.512,496803.0,516340.0,382.54,37.19,,10334103552,NO,322.24,306.72,291.38,319.92,319.5,1460,0.15,319333,NO,NO,2025-10-16,13741900.0,-3.1
45,LITE,820.59,813.51,5622997.0,Technology,Communication Equipment,98.0,80.0,3.0,92.0,83.9921,73.9735,5300412.0,5256010.0,1085.68,111.2,2026-08-11,63841902592,NO,770.59,816.34,624.62,803.94,761.12,2779,0.55,5622997,NO,NO,2026-03-20,22868800.0,-24.42
48,DELL,440.97,457.88,4722413.0,Technology,Computer Hardware,98.0,62.0,98.0,98.0,35.1814,30.6578,8694933.0,6252610.0,485.7,110.22,,284929425408,NO,422.66,419.19,224.84,416.78,270.74,2509,0.0,4722413,NO,NO,2016-09-07,147907159.0,-9.21
