Rank,Ticker,Price,Prev_Close,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA20,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
2,DLLL,39.38,36.28,1862386.0,ETF,ETF,98.0,98.0,97.0,98.0,4.2862,3.7907,1828435.0,3508390.0,40.12,2.17,,0,NO,29.21,26.11,12.54,27.67,17.23,399,2.99,1868775.0,NO,NO,2026-05-28,15772800.0,-1.84
5,ZCSH,120.09,103.52,1476754.0,ETF,ETF,98.0,98.0,98.0,98.0,9.4648,6.4812,191343.0,712350.0,120.55,4.12,,0,NO,78.43,53.15,33.26,59.46,37.97,1234,5.19,1485963.0,NO,YES,2026-09-17,1485963.0,-0.38
14,TXG,76.97,72.68,3141203.0,Healthcare,Medical Devices,98.0,98.0,98.0,98.0,4.4,4.1814,3089306.0,2599800.0,79.94,11.16,,10028511232,NO,66.01,56.0,31.03,58.03,36.83,1763,3.71,3141627.0,NO,NO,2025-06-27,17909500.0,-3.72
15,MRNA,158.07,145.62,19079947.0,Healthcare,Biotechnology,98.0,98.0,98.0,98.0,10.2853,9.681,16218990.0,11524260.0,176.66,22.28,,63107223552,NO,144.86,96.62,59.6,102.39,70.25,1954,4.72,19120510.0,YES,NO,2026-08-19,199252300.0,-10.52
20,TWST,155.56,143.07,3365300.0,Healthcare,Biotechnology,98.0,97.0,98.0,98.0,9.9511,9.2982,1711948.0,1540120.0,163.69,23.3,,10313810944,NO,137.67,116.84,69.0,120.44,82.12,1979,5.84,3368559.0,NO,NO,2022-11-15,7568500.0,-4.97
21,AMDL,63.61,56.65,3393438.0,ETF,ETF,98.0,96.0,25.0,98.0,4.6245,3.6379,3038204.0,2142970.0,83.79,8.88,,0,NO,51.69,55.69,36.49,55.31,45.64,628,7.98,3404971.0,NO,NO,2025-10-06,106498200.0,-24.08
28,DELL,588.4,563.29,9132060.0,Technology,Computer Hardware,98.0,97.0,95.0,98.0,36.795,32.6936,7805466.0,13452070.0,593.98,110.22,,374112223232,NO,497.01,460.38,270.31,476.19,338.65,2535,1.26,9164982.0,YES,NO,2016-09-07,147907159.0,-0.94
33,ORKA,97.73,93.55,1025021.0,Healthcare,Biotechnology,98.0,4.0,95.0,98.0,4.9729,4.8386,1142485.0,702340.0,115.52,14.89,,6470674432,NO,95.67,96.15,60.78,97.3,72.93,7322,1.48,1046733.0,NO,NO,2026-04-29,7921000.0,-15.4
36,MU,977.5,926.55,21670977.0,Technology,Semiconductors,98.0,86.0,16.0,97.0,42.885,35.0557,39816369.0,24686510.0,1255.0,154.65,,1103981838336,NO,957.53,926.77,636.27,931.12,761.37,10656,3.07,21883599.0,YES,NO,2013-10-11,153906100.0,-22.11
37,MBX,63.89,61.57,969787.0,Healthcare,Biotechnology,98.0,27.0,97.0,97.0,2.9415,2.8572,648380.0,439810.0,72.64,9.66,,3076948480,NO,63.11,63.7,41.98,64.12,45.52,504,1.51,969801.0,NO,NO,2025-09-22,28303500.0,-12.05
42,ETON,57.07,56.35,313863.0,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,8.0,98.0,98.0,2.7321,2.6629,564082.0,420400.0,66.37,14.27,,1631239552,NO,59.81,51.03,29.91,53.06,36.11,1970,1.22,314113.0,NO,NO,2023-08-11,15757000.0,-14.01
43,SYRE,92.68,91.17,1394627.0,Healthcare,Biotechnology,98.0,4.0,75.0,97.0,3.982,3.8788,1290885.0,1047990.0,110.17,14.51,,8171943936,NO,93.48,98.12,64.54,97.83,77.12,2627,0.0,1438884.0,NO,NO,2023-06-22,10228380.0,-15.88
50,PLSE,50.61,49.61,571319.0,Healthcare,Medical Instruments & Supplies,98.0,93.0,98.0,97.0,4.5971,4.4882,477377.0,811950.0,58.9,12.56,,3609637120,NO,51.13,41.77,25.65,43.59,29.99,2598,0.0,571882.0,NO,NO,2022-09-26,4339700.0,-14.07
56,LIFE,36.4,38.55,3230452.0,Financial Services,Insurance Brokers,98.0,91.0,98.0,98.0,2.6929,2.6257,1117040.0,1473900.0,42.55,9.45,,3488519936,NO,38.06,29.95,,31.25,21.44,160,0.0,3230620.0,NO,NO,2026-08-04,5332100.0,-14.45
