Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1,SNDK,2050.39,10808419,Technology,Computer Hardware,98.0,95.0,98.0,98.0,221.5357,173.6961,14128935.0,11712830.0,2354.39,40.1,,303641755648,NO,1544.18,674.4,1719.59,949.82,344,0.0,10808419,YES,NO,2025-11-26,43000900.0,-12.91
3,INTW,45.35,3017350,ETF,ETF,98.0,85.0,98.0,98.0,7.1324,6.146,6707711.0,5532050.0,52.62,1.72,,0,NO,34.94,13.82,39.2,18.67,344,0.0,3017350,NO,NO,2025-09-18,79455200.0,-13.82
8,MUU,1048.37,3856660,ETF,ETF,98.0,97.0,98.0,98.0,192.0751,146.8315,3159058.0,3456530.0,1252.8,16.73,,0,NO,644.29,250.61,738.37,356.76,429,0.0,3856660,NO,NO,2026-06-09,5492900.0,-16.32
9,MULL,36.34,10634941,ETF,ETF,98.0,97.0,98.0,98.0,6.6628,5.0041,11187679.0,10168110.0,43.53,0.59,,0,NO,22.5,8.78,25.73,12.49,406,0.0,10634941,YES,NO,2026-04-01,23787500.0,-16.52
13,MXL,108.47,5419490,Technology,Semiconductors,98.0,88.0,98.0,98.0,9.6086,8.9593,4877716.0,3515040.0,108.65,12.77,,9713050624,NO,80.74,33.11,92.07,44.39,4091,2.22,5419490,NO,NO,2026-04-24,29044000.0,-0.17
17,SOXL,236.52,48364261,ETF,ETF,98.0,77.0,98.0,98.0,43.7631,32.8402,68456035.0,51661010.0,302.0,22.57,,0,NO,187.93,84.18,203.5,108.42,4100,0.35,48364261,YES,NO,2025-04-09,787748800.0,-21.68
18,AMDL,71.8,3903382,ETF,ETF,98.0,64.0,98.0,98.0,9.5533,8.149,9594122.0,4113380.0,78.71,7.5,,0,NO,53.44,25.23,60.08,30.78,572,1.15,3903382,NO,NO,2025-10-06,106498200.0,-8.78
25,MU,1145.28,59870891,Technology,Semiconductors,98.0,95.0,98.0,98.0,109.0629,84.2971,52227241.0,59265000.0,1255.0,103.38,,1293471449088,NO,815.9,430.86,899.29,552.82,10600,0.0,59870891,YES,NO,2013-10-11,153906100.0,-8.74
27,WDC,651.88,11223777,Technology,Computer Hardware,98.0,95.0,97.0,98.0,67.2136,52.2057,8387270.0,13506670.0,799.87,62.94,,224691404800,NO,516.71,283.16,546.82,357.79,12012,2.38,11223777,YES,NO,2009-06-30,65696343.0,-18.5
30,BE,275.01,16678048,Industrials,Electrical Equipment & Parts,98.0,16.0,96.0,97.0,33.0493,28.955,11454979.0,16011500.0,351.28,21.52,,78224908288,NO,275.0,161.55,279.48,188.26,1992,8.11,16678048,YES,NO,2024-11-15,64722200.0,-21.71
31,VICR,366.79,1014560,Technology,Electronic Components,98.0,81.0,97.0,98.0,30.0678,26.6457,887304.0,1040100.0,370.0,41.76,,16718804992,NO,291.92,163.98,300.12,206.91,9125,1.09,1014560,NO,NO,2023-07-26,4839800.0,-0.87
33,ICHR,105.46,1088750,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,98.0,8.9573,7.7709,1049600.0,1358470.0,105.6,13.12,,3677079296,NO,75.0,40.82,80.04,52.77,2399,0.0,1088750,NO,NO,2018-08-24,8215700.0,-0.13
35,FCEL,29.8,20998917,Industrials,Electrical Equipment & Parts,98.0,95.0,98.0,98.0,3.8236,3.6514,9661341.0,13716550.0,30.8,3.78,,2014723584,NO,17.92,10.37,20.72,12.14,8561,6.42,20998917,YES,NO,2026-06-26,27068400.0,-3.25
36,ORKA,92.49,1329374,Healthcare,Biotechnology,98.0,98.0,96.0,97.0,5.5779,5.0357,1748835.0,2006580.0,95.32,10.97,,5578266112,NO,67.38,40.83,69.37,49.49,7266,0.0,1329374,NO,NO,2026-04-29,7921000.0,-2.97
37,NEBX,52.77,1269374,ETF,ETF,98.0,95.0,98.0,98.0,10.6054,10.0161,2315014.0,1545610.0,70.77,6.62,,0,NO,38.79,20.97,42.58,22.74,202,7.59,1269374,NO,NO,2025-11-11,10629300.0,-25.43
38,AEHR,94.77,1194639,Technology,Semiconductor Equipment & Materials,98.0,16.0,98.0,98.0,12.9892,11.4206,3018106.0,1523240.0,126.62,12.19,,2980824832,NO,97.61,47.44,98.59,58.13,7261,0.0,1194639,NO,NO,2021-07-19,139700300.0,-25.15
39,DFTX,46.55,4662724,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.5872,2.6072,2738975.0,6726720.0,47.2,6.4,,6179198464,NO,25.0,17.26,27.57,20.58,2416,0.0,4662724,NO,NO,2024-03-07,38010300.0,-1.38
42,UCTT,130.7,1372990,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,98.0,10.5904,8.9111,1158350.0,1478840.0,130.85,21.28,,5859065344,NO,90.73,52.6,97.9,66.54,5600,0.0,1372990,NO,NO,2018-01-02,7165600.0,-0.11
43,VPG,142.09,693410,Technology,Scientific & Technical Instruments,98.0,90.0,98.0,98.0,12.6707,12.01,478314.0,571140.0,148.39,25.58,,1889939072,NO,101.4,55.38,113.21,67.88,4028,1.38,693410,NO,NO,2026-05-13,1453400.0,-4.25
46,STX,968.53,5337614,Technology,Computer Hardware,98.0,86.0,97.0,98.0,89.795,77.8886,4256040.0,5897650.0,1145.0,138.3,,219131969536,NO,819.14,446.33,871.47,550.84,5923,1.79,5337614,NO,NO,2012-06-29,89629700.0,-15.41
47,NBIL,51.3,1404788,ETF,ETF,98.0,95.0,98.0,98.0,10.3514,9.761,1623429.0,1435860.0,68.49,6.37,,0,NO,37.57,,41.29,21.97,182,7.12,1404788,NO,NO,2026-03-17,5294600.0,-25.1
49,INTC,131.72,105041639,Technology,Semiconductors,98.0,85.0,98.0,98.0,10.9557,9.5136,136012869.0,135446580.0,141.45,18.97,,662024683520,NO,109.65,58.77,118.56,71.57,11665,0.0,105041639,YES,NO,1993-04-19,567708800.0,-6.88
51,NBIG,35.67,726798,ETF,ETF,98.0,95.0,98.0,98.0,7.2609,6.8459,1109132.0,999820.0,47.81,4.51,,0,NO,26.25,,28.77,15.4,168,6.8,726798,NO,NO,2026-03-17,4102700.0,-25.39
52,LITE,851.4,5548430,Technology,Communication Equipment,98.0,33.0,75.0,96.0,77.8239,72.0571,6080024.0,5921340.0,1085.68,88.37,,66238922752,NO,902.85,533.47,892.99,679.42,2749,0.0,5548430,NO,NO,2026-03-20,22868800.0,-21.58
53,BAND,60.89,1252615,Technology,Software - Infrastructure,98.0,78.0,98.0,98.0,5.279,5.0476,1186074.0,2150000.0,75.98,12.5,,1949533824,NO,50.41,24.13,58.18,29.97,2168,1.3,1252615,NO,NO,2022-11-02,11116300.0,-19.86
54,PRAX,350.56,682332,Healthcare,Biotechnology,98.0,37.0,74.0,84.0,19.8536,19.2343,486806.0,731280.0,366.52,37.19,,9773182976,NO,315.36,253.62,317.16,310.53,1430,0.0,682332,NO,NO,2025-10-16,13741900.0,-4.35
55,AIP,47.36,1378363,Technology,Semiconductors,98.0,96.0,98.0,97.0,3.3301,3.1915,948222.0,1175760.0,47.58,8.42,,2186705152,NO,34.47,19.83,37.68,23.82,1171,1.43,1378363,NO,NO,2025-08-05,21920200.0,-0.46
59,SIMO,331.94,1463080,Technology,Semiconductors,98.0,93.0,98.0,98.0,28.3693,24.8007,1007174.0,970700.0,355.0,70.12,,11255366656,NO,253.17,142.93,279.92,171.84,5281,0.0,1463080,NO,NO,2023-07-26,17771600.0,-6.5
61,SYRE,90.16,1898488,Healthcare,Biotechnology,98.0,95.0,96.0,97.0,6.3814,5.2507,1397262.0,2344980.0,102.06,14.0,,7829607936,NO,76.36,43.14,78.78,53.81,2571,0.0,1976673,NO,NO,2023-06-22,10228380.0,-11.66
64,VSH,56.28,6758126,Technology,Semiconductors,98.0,83.0,98.0,98.0,6.745,5.9443,5893019.0,7424240.0,69.47,11.77,,7660035584,NO,44.95,23.88,49.45,28.93,11665,0.0,6758126,NO,NO,2010-11-04,49052300.0,-18.99
65,ALAB,455.96,6193428,Technology,Semiconductors,98.0,96.0,98.0,97.0,40.9771,37.5116,6186754.0,7201550.0,456.76,85.85,,78155161600,NO,288.5,192.55,323.39,207.59,570,2.68,6193428,NO,NO,2024-11-05,24756900.0,-0.18
66,ATEX,98.24,812412,Communication Services,Telecom Services,98.0,98.0,97.0,98.0,7.503,7.3691,410622.0,622360.0,99.2,17.58,,1915529856,NO,62.15,35.5,70.17,44.66,2867,0.11,812412,NO,NO,2020-12-21,3077900.0,-0.97
68,PENG,67.94,2222126,Technology,Information Technology Services,98.0,96.0,98.0,98.0,7.3207,6.9089,2889990.0,3182090.0,77.4,16.04,,3570937088,NO,49.88,28.25,55.27,32.06,2286,0.0,2222126,NO,NO,2019-01-09,15604200.0,-12.22
70,CDNL,94.31,990115,Industrials,Engineering & Construction,98.0,98.0,97.0,98.0,6.796,6.731,552064.0,929200.0,95.17,21.98,,1819813632,NO,59.55,,65.86,43.16,137,0.0,1011763,NO,NO,2025-12-10,3595800.0,-0.9
74,HUT,118.27,3874445,Financial Services,Capital Markets,98.0,17.0,97.0,96.0,11.3345,11.193,4829543.0,4507320.0,140.8,17.87,,13316505600,NO,104.46,62.55,110.55,73.19,2088,0.0,3874445,NO,NO,2025-12-17,22652500.0,-16.0
78,ACMR,118.88,2485301,Technology,Semiconductor Equipment & Materials,97.0,96.0,98.0,97.0,10.7134,9.303,1579572.0,2069740.0,120.7,23.03,,8215735808,NO,75.07,51.87,83.91,61.26,2173,7.23,2485301,NO,NO,2024-02-28,12244400.0,-1.51
79,DOCN,149.86,4062723,Technology,Software - Infrastructure,97.0,31.0,95.0,97.0,14.0309,13.4876,4201775.0,4182290.0,187.5,25.56,,15640016896,NO,146.1,76.99,153.88,94.39,1322,1.74,4062723,NO,NO,2026-04-08,16602000.0,-20.07
81,RVMD,192.62,5299876,Healthcare,Biotechnology,97.0,95.0,96.0,97.0,7.5063,7.2963,3420162.0,3809330.0,192.8,34.0,,40950329344,NO,152.1,99.26,157.68,120.21,1601,0.23,5299876,NO,NO,2025-06-27,26439100.0,-0.09
83,MRVL,277.75,31025441,Technology,Semiconductors,97.0,97.0,98.0,98.0,29.4207,25.4443,42807291.0,67019060.0,329.88,61.44,,242975703040,NO,216.1,119.56,231.16,139.95,6536,2.12,31025441,YES,NO,2026-06-18,250989400.0,-15.8
87,KOD,37.74,912912,Healthcare,Biotechnology,97.0,75.0,29.0,79.0,2.715,2.6964,853938.0,910280.0,47.84,3.6,,2361710336,NO,38.25,27.17,36.99,31.9,1942,0.0,912912,NO,NO,2022-02-23,26802500.0,-21.11
89,LQDA,75.12,2552588,Healthcare,Drug Manufacturers - Specialty & Generic,97.0,94.0,97.0,96.0,4.5136,4.3479,1823591.0,3233750.0,79.41,11.85,,6680279040,NO,56.34,38.32,61.77,45.04,1991,0.0,2552588,NO,NO,2022-07-19,30246200.0,-5.4
91,NBIS,261.15,13758123,Communication Services,Internet Content & Information,97.0,92.0,97.0,97.0,27.1873,25.618,17558612.0,18581060.0,299.86,43.89,,66305511424,NO,210.13,130.68,224.57,144.62,422,3.58,13758123,YES,NO,2025-09-09,88378300.0,-12.91
97,AMD,539.49,26361008,Technology,Semiconductors,97.0,74.0,97.0,97.0,37.3836,32.0586,37578872.0,32675950.0,562.99,133.5,,879692677120,NO,444.35,272.37,479.98,309.6,11665,0.24,26361008,YES,NO,2018-08-27,325058400.0,-4.17
