Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,Earning_Date,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKH
2,INTW,366.87,697451.0,ETF,ETF,99.0,93.0,99.0,99.0,54.6079,42.0169,835329.0,822520.0,421.0,13.74,0,,259.64,103.79,296.56,139.91,-12.86
7,MUU,907.92,3926761.0,ETF,ETF,99.0,99.0,99.0,99.0,177.9969,128.6218,3084572.0,3392310.0,1235.0,16.73,0,,578.02,230.39,647.33,320.58,-26.48
14,SNDK,1963.6,12640048.0,Technology,Computer Hardware,99.0,97.0,99.0,99.0,191.3777,152.8631,14381916.0,11048240.0,2354.39,40.1,290789064704,,1450.54,633.87,1600.83,884.85,-16.6
20,SOXL,231.42,66955310.0,ETF,ETF,99.0,97.0,99.0,99.0,46.9386,33.67,70960711.0,63965340.0,302.0,22.57,0,,176.04,80.05,194.27,102.62,-23.37
21,AMDL,66.99,4074576.0,ETF,ETF,99.0,96.0,99.0,99.0,9.9584,7.8879,10037627.0,4792880.0,78.71,7.5,0,,49.51,24.04,56.35,28.94,-14.89
26,MXL,89.08,2634893.0,Technology,Semiconductors,99.0,10.0,99.0,99.0,9.7836,8.8514,4650662.0,3363170.0,106.28,12.77,7976754176,,74.82,31.51,86.5,41.15,-16.18
32,WDC,670.75,12513095.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,56.9086,42.9728,7927611.0,10086610.0,799.87,60.57,231195541504,,494.42,272.24,530.47,344.5,-16.14
35,CHRN,25.82,376118.0,Technology,Information Technology Services,99.0,99.0,98.0,99.0,3.2749,3.1684,250443.0,405690.0,28.2,2.73,3694670848,,15.63,9.24,17.59,11.73,-8.44
38,MU,1051.77,58149691.0,Technology,Semiconductors,99.0,98.0,99.0,99.0,100.0314,73.3264,50656600.0,53732170.0,1213.56,103.38,1186116796416,,761.22,410.85,826.38,519.87,-13.33
43,NEBX,59.62,1584941.0,ETF,ETF,99.0,98.0,99.0,99.0,11.1359,10.4644,2372958.0,2158370.0,70.77,6.62,0,,36.78,,40.85,21.93,-15.76
45,AEHR,102.39,1513127.0,Technology,Semiconductor Equipment & Materials,99.0,91.0,99.0,99.0,13.9886,12.278,3000483.0,1659000.0,126.62,11.51,3220498688,,96.0,46.06,99.77,56.14,-19.14
50,STX,1038.59,5182059.0,Technology,Computer Hardware,99.0,97.0,99.0,99.0,73.9657,63.3178,4083901.0,4648800.0,1145.0,133.85,234983178240,,783.36,430.7,847.11,532.47,-9.29
51,NBIL,57.72,1333557.0,ETF,ETF,99.0,98.0,99.0,99.0,10.804,10.1586,1616914.0,1626770.0,68.49,6.37,0,,35.61,,39.57,21.16,-15.72
52,VICR,336.12,1029806.0,Technology,Electronic Components,99.0,97.0,97.0,99.0,28.4486,23.8686,835312.0,709730.0,369.4,41.76,15320822784,,280.44,158.26,291.72,198.22,-9.01
53,NBIG,40.36,820295.0,ETF,ETF,99.0,98.0,99.0,99.0,7.5746,7.096,1115367.0,1120870.0,47.81,4.51,0,,24.9,,27.61,14.85,-15.58
