Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
1313,ATKR,77.83,299704,Industrials,Electrical Equipment & Parts,82.0,13.0,89.0,83.0,3.3768,3.0782,489766.0,433410.0,90.16,53.49,2628106240,NO,77.09,67.79,78.71,69.59,2524,2.11,180300.0,NO,NO,2016-12-08,7050200.0,-13.68
1319,EME,798.1,1357484,Industrials,Engineering & Construction,82.0,13.0,57.0,86.0,34.4014,29.345,388156.0,538650.0,951.96,516.91,35541442560,NO,859.17,730.78,855.91,759.48,7918,0.0,1357600.0,NO,NO,2003-10-03,19518800.0,-16.16
1327,HAE,77.29,791369,Healthcare,Medical Devices,82.0,92.0,91.0,18.0,3.4964,3.4714,882112.0,1022240.0,87.32,47.32,3512520192,NO,64.89,64.32,66.48,67.22,8845,0.0,1608300.0,NO,NO,1991-05-10,11925600.0,-11.49
1330,EEM,67.19,22733506,ETF,ETF,82.0,31.0,80.0,83.0,1.9629,1.3871,30881737.0,33092480.0,71.57,47.9,0,NO,66.37,58.87,66.58,60.82,5838,0.0,24158700.0,YES,NO,2008-11-21,248682100.0,-6.12
1335,TOL,164.14,1160668,Consumer Cyclical,Residential Construction,82.0,93.0,83.0,78.0,6.3007,5.6457,1130756.0,1466670.0,168.36,113.25,15342329856,NO,142.06,141.15,142.83,143.7,10070,0.25,1663300.0,NO,NO,2009-11-11,24530600.0,-2.51
1348,CAH,237.92,1396117,Healthcare,Medical Distribution,82.0,93.0,63.0,70.0,6.3129,6.0143,2180275.0,2712640.0,240.44,137.75,55722258432,NO,204.91,198.88,205.75,210.06,10807,0.0,2074000.0,NO,NO,2004-07-01,35567800.0,-1.05
1360,EBAY,107.87,3759791,Consumer Cyclical,Internet Retail,82.0,28.0,80.0,86.0,3.005,2.9414,5346056.0,4009710.0,119.31,73.68,47894282240,NO,108.51,93.9,108.49,96.05,6981,0.0,5497200.0,NO,NO,1998-11-10,577698739.0,-9.59
1363,EEMA,114.27,36433,ETF,ETF,82.0,25.0,81.0,83.0,3.2793,2.2943,206835.0,478000.0,122.73,81.96,0,NO,113.75,100.77,114.07,103.81,3615,0.0,37500.0,NO,NO,2025-06-10,4652900.0,-6.89
1373,NDSN,301.47,463242,Industrials,Specialty Industrial Machinery,82.0,78.0,68.0,84.0,7.76,6.7093,395280.0,518060.0,307.74,207.08,16797289472,NO,285.35,260.97,286.95,273.46,11663,0.0,463300.0,NO,NO,2022-02-14,12875500.0,-2.04
1380,VCTR,83.43,816722,Financial Services,Asset Management,82.0,19.0,79.0,86.0,2.6552,2.5695,519822.0,587890.0,90.19,57.03,5216970240,NO,83.05,70.8,83.63,73.17,2106,0.8,1338000.0,NO,NO,2025-07-17,8797500.0,-7.5
1381,HRI,151.26,483448,Industrials,Rental & Leasing Services,82.0,87.0,92.0,19.0,9.04,8.2464,616101.0,730540.0,188.35,88.45,5051033088,NO,134.33,135.25,137.71,138.17,4931,0.0,1310700.0,NO,NO,2014-08-20,28676900.0,-19.69
1385,VVX,72.48,1400141,Industrials,Aerospace & Defense,81.0,14.0,44.0,87.0,4.1679,3.9896,575206.0,758490.0,91.8,46.07,2269383936,NO,75.51,65.15,76.14,68.54,2962,0.0,1400200.0,NO,NO,2016-09-30,2550400.0,-21.05
1386,AVEM,94.4,1277739,ETF,ETF,81.0,30.0,77.0,83.0,3.1139,2.1038,1965141.0,1334830.0,100.83,68.03,0,NO,93.49,82.96,94.01,85.91,1700,0.0,1406400.0,NO,NO,2025-05-12,12045200.0,-6.38
1388,LAMR,156.1,1944987,Real Estate,REIT - Specialty,81.0,72.0,83.0,83.0,3.2229,3.1714,645879.0,875070.0,158.69,113.66,15840264192,NO,146.83,132.63,149.53,136.8,7522,0.39,2898200.0,NO,NO,2007-10-05,10761600.0,-1.63
1391,TPC,79.53,425718,Industrials,Engineering & Construction,81.0,83.0,40.0,75.0,3.7136,3.4107,542788.0,708380.0,100.0,43.52,4198504192,NO,80.22,73.3,79.0,76.45,13400,0.0,2253300.0,NO,NO,2020-02-28,6683700.0,-20.47
1396,ROST,213.26,8616732,Consumer Cyclical,Apparel Retail,81.0,10.0,17.0,77.0,6.3986,6.0764,3019611.0,4109350.0,242.81,126.32,68409774080,NO,226.24,192.93,227.69,208.28,10299,0.0,13176700.0,YES,NO,1986-11-28,132160000.0,-12.17
1401,IWM,299.83,38304807,ETF,ETF,81.0,74.0,81.0,78.0,6.2179,5.6821,29535796.0,30023830.0,301.5,212.34,0,NO,284.61,259.54,286.33,266.48,6559,0.0,39794200.0,YES,NO,2008-09-18,355117000.0,-0.55
1405,FMX,128.87,956187,Consumer Defensive,Beverages - Brewers,81.0,79.0,80.0,85.0,3.3514,3.2879,501772.0,566790.0,130.55,83.08,43903619072,NO,121.25,107.1,122.42,112.42,7076,0.33,956200.0,NO,NO,2009-10-02,12850500.0,-1.29
1408,COPX,76.18,2482830,ETF,ETF,81.0,6.0,33.0,47.0,4.155,3.0057,3930711.0,3926050.0,99.99,41.94,0,NO,84.09,74.79,83.05,80.56,4071,0.0,5494500.0,NO,NO,2026-01-29,18336200.0,-23.81
1411,ESGE,53.67,551854,ETF,ETF,81.0,32.0,80.0,82.0,1.5293,1.0931,1121972.0,762830.0,57.11,38.91,0,NO,53.1,47.41,53.27,48.84,2498,0.0,551900.0,NO,NO,2022-05-18,49535100.0,-6.02
1417,QNT,75.57,3962171,Technology,Software - Application,81.0,,,,8.43,8.3214,5914031.0,3595090.0,81.48,50.1,19594209280,YES,,,,,16,0.0,3964300.0,NO,NO,2026-06-04,29612000.0,-7.25
1432,RVTY,113.02,2401375,Healthcare,Diagnostics & Research,81.0,93.0,87.0,75.0,4.4029,4.0393,1383172.0,1605380.0,118.3,81.22,12608485376,NO,96.92,96.05,98.1,97.72,13450,0.0,3674600.0,NO,NO,2002-03-01,16194000.0,-4.46
1436,IWO,388.31,836440,ETF,ETF,81.0,70.0,83.0,76.0,9.7079,8.69,428700.0,490900.0,396.69,280.35,0,NO,370.72,338.59,372.9,345.38,6516,0.0,836500.0,NO,NO,2007-10-24,12894800.0,-2.11
1449,UTHR,542.66,974276,Healthcare,Drug Manufacturers - Specialty & Generic,81.0,17.0,31.0,54.0,12.7514,12.6514,546938.0,715370.0,609.35,272.12,23034142720,NO,562.17,501.21,557.14,522.83,6798,0.0,1019700.0,NO,NO,2007-11-01,29067800.0,-10.94
1453,LEA,136.84,1152959,Consumer Cyclical,Auto Parts,81.0,14.0,63.0,76.0,4.2929,4.07,627948.0,800140.0,150.33,91.67,6855013376,NO,136.38,120.21,137.93,127.23,4182,0.0,1153000.0,NO,NO,2019-12-20,8951400.0,-8.97
1462,MIDD,173.36,737908,Industrials,Specialty Industrial Machinery,81.0,90.0,87.0,73.0,5.9636,5.5857,651391.0,936520.0,176.44,110.82,7838385152,NO,152.16,143.34,155.12,150.22,9794,0.0,923800.0,NO,NO,1997-10-30,8797200.0,-1.75
1467,PICK,57.96,1464505,ETF,ETF,80.0,7.0,52.0,69.0,1.7671,1.3643,716901.0,1308870.0,69.02,37.44,0,NO,63.29,54.89,62.83,58.55,3620,0.0,1479800.0,NO,NO,2026-01-30,3228100.0,-16.02
1474,VTWO,120.28,2499404,ETF,ETF,80.0,72.0,79.0,77.0,2.4943,2.2657,2410900.0,2186090.0,121.82,85.88,0,NO,115.0,104.92,115.61,107.68,3964,0.0,2657400.0,NO,NO,2025-01-27,10705800.0,-1.26
1475,DFAE,39.41,1803355,ETF,ETF,80.0,28.0,76.0,82.0,1.2404,0.8197,1242700.0,1285790.0,42.16,28.73,0,NO,39.23,34.87,39.41,36.1,1395,0.0,1155800.0,NO,NO,2022-09-26,5178000.0,-6.52
1481,IWN,221.43,1236855,ETF,ETF,80.0,74.0,75.0,79.0,3.8271,3.4736,790908.0,725470.0,221.94,155.54,0,NO,211.29,192.43,212.4,198.89,6516,0.0,1236900.0,NO,NO,2011-08-05,7512000.0,-0.23
1487,OIH,375.55,345761,ETF,ETF,80.0,7.0,7.0,88.0,12.3129,10.9472,407337.0,456560.0,459.28,227.68,0,NO,423.61,346.96,420.94,376.75,6371,0.0,350300.0,NO,NO,2007-05-21,3823260.0,-18.23
1491,COKE,188.03,784586,Consumer Defensive,Beverages - Non-Alcoholic,80.0,63.0,13.0,58.0,7.3043,7.1236,547567.0,530210.0,219.65,109.42,12516084736,NO,183.58,164.64,182.14,177.76,13449,0.0,565300.0,NO,NO,2022-07-19,9896000.0,-14.4
1498,CGGO,41.19,1488045,ETF,ETF,80.0,72.0,83.0,77.0,1.1936,0.8559,1279720.0,1351830.0,42.88,31.61,0,NO,39.42,36.05,39.78,36.85,1087,0.0,1651800.0,NO,NO,2026-01-28,5495700.0,-3.94
1500,CMC,69.2,2465290,Industrials,Metal Fabrication,80.0,49.0,79.0,46.0,2.675,2.5314,1129703.0,1763530.0,84.87,48.14,7660125184,NO,71.77,67.52,72.64,70.96,11663,1.67,1763100.0,NO,NO,2011-11-28,12000200.0,-18.46
1502,IEMG,81.3,8742227,ETF,ETF,80.0,26.0,78.0,81.0,2.28,1.64,12481953.0,11068310.0,86.49,59.57,0,NO,80.94,72.28,81.15,74.48,3436,0.0,10070800.0,YES,NO,2023-01-11,90038300.0,-6.0
1509,DTM,150.74,440769,Energy,Oil & Gas Midstream,80.0,43.0,60.0,83.0,3.0786,3.0644,750853.0,836620.0,152.88,98.06,15377608704,NO,142.36,126.87,144.2,133.94,1251,0.0,812400.0,NO,NO,2021-07-01,23044100.0,-1.4
1513,IJR,147.41,4608327,ETF,ETF,80.0,80.0,78.0,80.0,2.5829,2.2929,4378816.0,4907520.0,147.6,107.09,0,NO,138.45,126.99,139.41,130.7,6559,0.0,6011200.0,NO,NO,2005-10-13,25430200.0,-0.13
1522,TAN,56.85,1238926,ETF,ETF,80.0,3.0,35.0,69.0,2.5071,2.3457,1504801.0,1574950.0,75.6,33.72,0,NO,61.98,53.75,62.89,56.7,4579,0.0,1239000.0,NO,NO,2021-01-06,7216500.0,-24.8
1526,VIST,64.64,400072,Energy,Oil & Gas E&P,80.0,7.0,7.0,89.0,3.0337,2.7609,1209111.0,822930.0,81.44,31.63,7203636736,NO,71.24,56.15,70.94,62.14,1739,0.0,442700.0,NO,NO,2025-10-27,8095000.0,-20.63
1528,CR,219.06,593781,Industrials,Specialty Industrial Machinery,80.0,95.0,87.0,77.0,6.8531,6.5724,559551.0,574260.0,226.46,159.58,12649769984,NO,187.74,187.61,190.22,189.5,813,0.74,506200.0,NO,NO,2026-01-27,1887900.0,-3.27
1530,SPSM,57.3,1693035,ETF,ETF,80.0,80.0,78.0,79.0,0.9943,0.88,1746725.0,2071140.0,57.38,41.76,0,NO,53.87,49.47,54.25,50.91,3262,0.0,1693000.0,NO,NO,2024-02-13,15358900.0,-0.14
1532,TPR,146.0,2493924,Consumer Cyclical,Luxury Goods,80.0,79.0,37.0,69.0,5.7036,5.3429,2422856.0,3307270.0,161.97,84.39,29498529792,NO,142.32,131.07,141.24,139.72,6467,0.0,6371000.0,NO,NO,2013-01-23,50973600.0,-9.86
1544,PAVE,58.84,2004204,ETF,ETF,80.0,76.0,75.0,79.0,1.37,1.1279,1719962.0,2190690.0,60.43,43.32,0,NO,56.59,51.56,56.81,53.26,2339,0.0,2005100.0,NO,NO,2021-07-12,12042000.0,-2.63
