Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
988,CIB,79.27,299374,Financial Services,Banks - Regional,86.0,87.0,55.0,83.0,2.81,2.7043,380961.0,504940.0,87.68,43.2,18808014848,NO,71.43,66.97,71.29,71.14,7780,0.0,337100.0,NO,NO,2007-07-17,5932400.0,-9.59
992,PBW,36.85,605309,ETF,ETF,86.0,3.0,75.0,73.0,1.8386,1.7521,858896.0,637010.0,47.22,19.41,0,NO,40.15,34.11,40.53,35.42,5363,0.0,615700.0,NO,NO,2025-05-28,4637200.0,-21.96
994,MS,212.03,9915576,Financial Services,Capital Markets,86.0,80.0,87.0,77.0,6.3907,5.7907,6012646.0,7134140.0,230.47,135.26,334431715328,NO,202.04,177.34,203.4,184.24,8393,0.0,9918200.0,YES,NO,2008-09-17,329786100.0,-8.0
1005,MCHP,87.93,30455834,Technology,Semiconductors,86.0,10.0,90.0,89.0,5.885,4.6636,11378183.0,13825500.0,105.91,48.52,47665033216,NO,92.94,73.28,93.57,77.95,8375,0.0,31441000.0,YES,NO,2007-12-04,90537000.0,-16.98
1011,SCCO,171.26,807508,Basic Materials,Copper,86.0,10.0,52.0,77.0,9.1557,7.845,1421840.0,1544250.0,221.67,85.61,142887092224,NO,181.89,161.02,180.63,175.41,7668,0.0,1697500.0,NO,NO,2005-06-10,45206179.0,-22.74
1013,BNY,143.56,15618084,Financial Services,Banks - Diversified,86.0,71.0,84.0,82.0,3.5286,3.3336,3966969.0,5018120.0,148.5,89.64,98536579072,NO,138.2,120.51,138.74,125.73,13399,0.0,2757000.0,NO,NO,2008-09-18,66396000.0,-3.33
1025,INCY,113.75,3788192,Healthcare,Biotechnology,86.0,93.0,83.0,69.0,4.82,4.4557,1658709.0,2310170.0,115.56,66.83,22725220352,NO,99.26,97.33,100.22,99.7,8215,1.81,3794900.0,NO,NO,2017-02-27,33193000.0,-1.57
1026,JETS,33.28,2085556,ETF,ETF,86.0,92.0,89.0,75.0,1.0511,0.8843,3881541.0,3199480.0,33.66,22.86,0,NO,27.82,26.93,28.3,27.8,2806,0.0,2113800.0,NO,NO,2021-12-06,33592800.0,-1.13
1030,ODFL,218.79,2465444,,,86.0,48.0,74.0,90.0,9.6993,8.7957,2043012.0,2160150.0,252.03,126.01,45501378560,NO,218.07,178.2,219.1,194.97,8729,0.0,3020900.0,NO,NO,2019-12-06,46467600.0,-13.19
1033,SPXL,251.65,1879734,ETF,ETF,86.0,9.0,91.0,65.0,12.2479,10.6636,2470633.0,2028980.0,289.0,168.04,0,NO,261.33,226.38,263.36,231.55,4436,0.0,1885500.0,NO,NO,2009-03-11,447939600.0,-12.92
1035,WSM,239.19,1046721,Consumer Cyclical,Specialty Retail,86.0,94.0,89.0,85.0,8.6521,8.0264,1206217.0,1568660.0,244.65,161.63,28163811328,NO,198.87,194.84,201.2,197.0,10828,0.0,1734700.0,NO,NO,1996-01-09,42896000.0,-2.23
1037,MRK,128.66,18469862,Healthcare,Drug Manufacturers - General,86.0,83.0,52.0,82.0,3.2979,3.0629,10330917.0,14137060.0,128.78,76.66,317767614464,NO,115.84,106.33,117.03,114.62,16229,0.3,18888700.0,YES,NO,2004-09-30,151976244.0,-0.09
1041,GFF,96.42,440892,Industrials,Building Products & Equipment,86.0,88.0,90.0,86.0,3.8071,3.5143,390430.0,497860.0,97.7,65.01,4422460416,NO,88.93,80.33,89.51,83.03,13400,0.0,1269600.0,NO,NO,2022-05-16,3996500.0,-1.31
1043,RPG,61.39,571850,ETF,ETF,86.0,77.0,89.0,86.0,2.0221,1.5279,657733.0,692580.0,63.72,43.41,0,NO,57.83,50.39,58.4,51.81,5109,0.0,572800.0,NO,NO,2019-04-03,16660000.0,-3.66
1044,UPRO,132.08,2440259,ETF,ETF,86.0,9.0,91.0,65.0,6.39,5.5807,3177291.0,2408870.0,151.41,88.15,0,NO,136.95,118.85,138.03,121.46,4277,0.0,2499200.0,NO,NO,2010-07-01,290347200.0,-12.77
1046,ANET,157.6,11739960,Technology,Computer Hardware,86.0,76.0,83.0,84.0,8.5376,7.1371,9413008.0,8243870.0,179.8,97.14,198445105152,NO,159.82,142.68,159.95,142.74,3031,0.0,8231200.0,NO,NO,2018-08-27,178592000.0,-12.35
1047,GWW,1353.61,318298,Industrials,Industrial Distribution,86.0,86.0,85.0,88.0,32.3343,31.68,292822.0,449680.0,1390.96,906.52,63908151296,NO,1245.73,1085.67,1261.97,1141.54,13450,0.0,610900.0,NO,NO,2017-10-17,6078300.0,-2.69
1052,FCX,62.45,13793915,Basic Materials,Copper,86.0,31.0,62.0,80.0,3.0336,2.5443,15053443.0,15975230.0,72.28,35.15,89775611904,NO,64.25,54.79,63.29,59.83,7793,0.0,24657100.0,YES,NO,2012-12-05,153828000.0,-13.6
1062,WQTM,35.83,218332,ETF,ETF,85.0,14.0,92.0,88.0,1.7091,1.5597,343664.0,488310.0,41.38,23.18,0,NO,35.16,,35.57,29.71,179,0.0,224300.0,NO,NO,2026-05-22,1458400.0,-13.41
1064,SQM,71.59,1069779,Basic Materials,Specialty Chemicals,85.0,5.0,9.0,38.0,3.4057,2.8564,1293201.0,1162050.0,98.0,34.44,20448811008,NO,84.26,69.34,83.4,77.63,8247,0.0,1077400.0,NO,NO,1996-04-26,30256447.0,-26.95
1073,MTH,85.18,852238,Consumer Cyclical,Residential Construction,85.0,96.0,91.0,87.0,3.0636,2.8236,938924.0,1263990.0,85.38,58.03,5690080768,NO,68.43,69.69,69.29,69.53,9551,0.06,2104700.0,NO,NO,2007-04-26,10253000.0,-0.23
1074,GL,179.31,456206,Financial Services,Insurance - Life,85.0,93.0,87.0,85.0,3.7764,3.5357,584596.0,801040.0,181.15,116.73,13922482176,NO,157.81,143.88,159.69,147.3,11526,0.75,922700.0,NO,NO,2024-04-11,36577500.0,-1.02
1075,FESM,47.61,976058,ETF,ETF,85.0,77.0,84.0,83.0,0.9696,0.8729,655616.0,683130.0,48.05,31.72,0,NO,44.64,39.81,45.01,41.13,651,0.0,976500.0,NO,NO,2025-03-07,5100800.0,-0.92
1078,AGIX,44.79,228913,ETF,ETF,85.0,24.0,89.0,80.0,1.8131,1.5558,434140.0,447670.0,49.67,30.68,0,NO,43.57,37.85,44.3,38.28,486,0.0,221900.0,NO,NO,2026-06-16,1130900.0,-9.82
1084,RYTM,109.84,2345756,Healthcare,Biotechnology,85.0,94.0,89.0,22.0,5.2295,5.0886,814559.0,1395020.0,122.2,62.29,7534318080,NO,90.37,97.88,90.98,95.36,2190,0.0,2664300.0,NO,NO,2022-07-13,29957500.0,-10.11
1085,HWM,268.87,17560155,Industrials,Aerospace & Defense,85.0,77.0,74.0,86.0,10.4771,9.6814,2738425.0,4512160.0,290.63,169.45,107576901632,NO,258.3,225.93,259.08,238.45,2425,0.0,17578500.0,YES,NO,2019-01-22,55218793.0,-7.49
1095,NXPI,277.02,6948833,,,85.0,4.0,91.0,82.0,17.5464,14.3764,3977900.0,4577320.0,339.95,183.0,69939535872,NO,290.06,235.6,295.45,244.55,3996,0.0,7172900.0,NO,NO,2021-03-19,53102200.0,-18.51
1105,CASY,778.63,1426367,Consumer Cyclical,Specialty Retail,85.0,21.0,60.0,89.0,38.1336,35.835,663585.0,653490.0,927.85,490.0,28813133824,NO,817.93,656.85,822.39,703.13,10753,0.0,708300.0,NO,NO,2010-04-09,15517800.0,-16.08
1111,W,94.47,4099933,Consumer Cyclical,Internet Retail,85.0,97.0,86.0,15.0,5.8833,5.3083,4074585.0,4085270.0,119.98,50.41,12469708800,NO,72.92,86.79,73.7,84.61,2950,0.0,4131500.0,NO,NO,2023-02-23,27610900.0,-21.26
1112,OSW,28.2,1908362,,,85.0,92.0,82.0,87.0,1.1809,1.1606,801701.0,1313890.0,29.25,19.06,2862718720,NO,24.68,22.2,25.1,22.71,2161,0.81,2170900.0,NO,NO,2026-02-09,18336900.0,-3.59
1114,FCFS,212.45,1064813,Financial Services,Credit Services,85.0,11.0,59.0,87.0,9.3393,9.2279,415256.0,558490.0,235.97,119.21,9313103872,NO,220.98,181.92,223.05,193.85,8825,0.0,1262000.0,NO,NO,2019-09-20,6973400.0,-9.97
1120,WTS,359.26,579092,Industrials,Specialty Industrial Machinery,85.0,91.0,83.0,85.0,11.285,10.775,378246.0,816470.0,375.89,242.77,11996011520,NO,311.92,295.17,315.04,303.54,10038,0.0,3897700.0,NO,NO,2022-01-31,5752500.0,-4.42
1121,BC,87.08,531645,Consumer Cyclical,Recreational Vehicles,85.0,79.0,81.0,71.0,3.1714,2.9221,712840.0,774100.0,90.25,54.73,5657974272,NO,80.62,75.0,81.73,79.6,11210,1.37,597300.0,NO,NO,1983-08-12,20013600.0,-3.51
1122,NTRS,173.87,1080477,,,85.0,75.0,85.0,83.0,4.0579,3.8364,1116627.0,1182870.0,178.7,118.99,32174166016,NO,167.38,145.04,167.68,151.43,11664,0.0,1351500.0,NO,NO,1998-01-29,16895600.0,-2.7
1127,ULS,99.05,997179,Industrials,Specialty Business Services,85.0,33.0,76.0,85.0,3.2132,3.2118,853485.0,1637940.0,107.54,61.64,19964827648,NO,96.14,83.15,96.77,85.27,553,0.0,5399900.0,NO,NO,2024-04-12,14953800.0,-7.89
1131,IGM,155.89,464228,ETF,ETF,85.0,24.0,88.0,79.0,5.2579,4.32,700398.0,603020.0,171.48,110.25,0,NO,153.94,134.0,155.58,136.52,6356,0.0,518000.0,NO,NO,2018-10-12,11570400.0,-9.09
1135,IYW,239.66,636038,ETF,ETF,85.0,25.0,89.0,78.0,8.0157,6.5364,1128006.0,837110.0,261.01,170.25,0,NO,236.26,206.08,238.96,209.53,6564,0.0,636000.0,NO,NO,2015-02-02,52116000.0,-8.18
1139,AFRM,79.49,4620038,Financial Services,Credit Services,84.0,88.0,95.0,19.0,4.8168,4.4904,5063009.0,5091000.0,100.0,42.09,26621085696,NO,67.33,66.44,68.05,62.64,1368,0.0,3669800.0,NO,NO,2022-02-10,86940400.0,-20.51
1142,RS,385.78,437068,Basic Materials,Steel,84.0,69.0,86.0,87.0,12.7186,12.5307,339153.0,503260.0,419.83,260.31,19693498368,NO,375.23,317.9,378.63,333.82,7997,0.0,830400.0,NO,NO,2007-04-19,5155700.0,-8.11
1147,JNJ,254.66,16242949,Healthcare,Drug Manufacturers - General,84.0,88.0,46.0,83.0,5.7657,5.1286,8079100.0,10435120.0,255.11,151.52,613021843456,NO,230.66,217.34,231.91,229.07,16229,1.38,16314000.0,YES,NO,2023-08-21,151319500.0,-0.18
1152,CHRW,179.33,3875989,Industrials,Integrated Freight & Logistics,84.0,61.0,49.0,59.0,6.1436,5.8993,1796470.0,1607720.0,203.34,95.04,21138171904,NO,178.98,164.75,179.14,175.45,7216,1.13,1137900.0,NO,NO,2007-03-01,24014000.0,-11.81
1167,BITI,28.53,1784053,ETF,ETF,84.0,96.0,68.0,83.0,1.1504,0.7886,1760653.0,1784800.0,30.93,16.57,0,NO,24.14,23.07,24.7,24.74,1007,0.0,2787700.0,NO,NO,2026-02-05,11169600.0,-7.76
1169,GE,369.0,7642079,Industrials,Aerospace & Defense,84.0,93.0,87.0,76.0,11.0929,10.365,5876817.0,6020160.0,379.67,243.34,385542127616,NO,312.78,307.57,316.63,311.62,16229,0.0,8360900.0,NO,NO,2009-03-04,157102606.0,-2.81
1170,CRL,215.75,1035754,Healthcare,Diagnostics & Research,84.0,97.0,87.0,45.0,7.6957,7.4021,880150.0,926170.0,228.88,144.26,10392186880,NO,176.04,178.68,177.16,183.23,6539,0.89,1536000.0,NO,NO,2025-04-11,11604900.0,-5.74
