Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
12,AMDL,64.19,4299630,ETF,ETF,98.0,9.0,98.0,98.0,10.1652,8.1637,9023468.0,4146200.0,83.79,7.79,,0,NO,58.16,26.76,62.18,32.19,577,0.0,4314046,NO,NO,2025-10-06,106498200.0,-23.39
19,ABVX,142.17,1201352,Healthcare,Biotechnology,98.0,97.0,79.0,46.0,10.1804,7.4834,2058063.0,3603530.0,148.83,7.7,,11345261568,NO,113.47,112.64,117.34,118.93,678,0.0,1354718,NO,NO,2025-07-23,27831900.0,-4.47
21,BE,269.57,10271780,Industrials,Electrical Equipment & Parts,98.0,13.0,97.0,98.0,36.8774,32.5017,12007432.0,17983090.0,351.28,23.94,,76677537792,NO,281.26,166.91,276.97,193.94,1997,0.0,11141304,YES,NO,2024-11-15,64722200.0,-23.26
22,MU,938.38,51513504,Technology,Semiconductors,98.0,16.0,98.0,98.0,104.405,77.3679,51396462.0,60262640.0,1255.0,103.38,,1059799957504,NO,871.16,452.37,921.93,570.4,10605,0.0,51785317,YES,NO,2013-10-11,153906100.0,-25.23
23,BAND,67.56,1842813,Technology,Software - Infrastructure,98.0,12.0,98.0,98.0,4.2841,4.2841,1248857.0,1270090.0,75.98,12.5,,2163089152,NO,54.4,25.29,60.52,31.74,2173,0.05,1842838,NO,NO,2022-11-02,11116300.0,-11.08
31,SYRE,94.23,1294945,Healthcare,Biotechnology,98.0,94.0,97.0,98.0,6.3254,5.2139,1466583.0,2354750.0,102.06,14.51,,8183051776,NO,78.1,44.99,80.9,55.71,2576,0.16,1305750,NO,NO,2023-06-22,10228380.0,-7.67
37,ATEX,100.9,485305,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.3034,7.3026,450590.0,608090.0,111.9,17.58,,1967395840,NO,68.26,37.59,75.99,47.48,2872,0.0,532756,NO,NO,2020-12-21,3077900.0,-9.83
39,DFTX,44.48,2586253,Healthcare,Biotechnology,98.0,98.0,97.0,98.0,3.9336,2.9536,2864521.0,7528970.0,49.2,7.26,,5904419840,NO,27.15,18.14,29.61,21.57,2421,0.05,2586253,NO,NO,2024-03-07,38010300.0,-9.59
41,LQDA,81.23,1216909,Healthcare,Drug Manufacturers - Specialty & Generic,98.0,96.0,97.0,97.0,4.3343,4.245,1883444.0,2077530.0,82.0,12.21,,7223629312,NO,60.55,39.66,66.46,46.76,1996,0.04,1216974,NO,NO,2022-07-19,30246200.0,-0.94
43,ORKA,84.5,2202750,Healthcare,Biotechnology,98.0,97.0,94.0,98.0,6.1486,5.5057,1830395.0,2478790.0,97.78,12.84,,5096372224,NO,69.32,42.65,70.83,51.06,7271,0.0,2202750,NO,NO,2026-04-29,7921000.0,-13.58
