Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,MCAP,Earning_Date,SMA50,SMA200,SMA10W,SMA30W,%_From_52WKH
1,SNXX,46.28,31911004.0,ETF,ETF,99.0,99.0,99.0,,5.8151,5.0401,66959496.0,37469650.0,49.34,3.14,0,,21.1,,26.55,,-6.2
3,MULL,1073.21,297397.0,ETF,ETF,99.0,99.0,99.0,99.0,139.0836,105.7496,451362.0,426830.0,1073.21,14.68,0,,492.7,198.22,593.61,290.61,0.0
5,MRVU,251.4,392606.0,ETF,ETF,99.0,99.0,99.0,,60.1914,48.7164,296003.0,536030.0,308.77,20.8,0,,132.11,,154.59,,-18.58
8,INTW,419.24,616370.0,ETF,ETF,99.0,96.0,99.0,99.0,51.0617,39.6315,833743.0,820950.0,421.0,13.74,0,,254.32,102.07,301.8,141.66,-0.42
12,MVLL,188.66,2539896.0,ETF,ETF,99.0,99.0,99.0,99.0,45.201,36.8938,1825022.0,3773050.0,233.0,12.96,0,,100.3,41.66,117.1,55.03,-19.03
13,SOXL,300.77,35468358.0,ETF,ETF,99.0,99.0,99.0,99.0,44.2443,33.5471,72243108.0,71218490.0,302.0,20.28,0,,172.94,79.02,201.2,104.93,-0.41
16,SNDK,2273.73,9879098.0,Technology,Computer Hardware,99.0,99.0,99.0,99.0,172.797,149.5488,14591703.0,11385310.0,2354.39,40.1,336716136448,,1428.3,624.36,1631.84,895.19,-3.43
17,MUU,1231.65,2728973.0,ETF,ETF,99.0,99.0,99.0,99.0,160.8554,123.8876,3100816.0,3623870.0,1235.0,16.73,0,,563.52,225.97,679.71,331.37,-0.27
18,KORU,1088.62,534697.0,ETF,ETF,99.0,98.0,99.0,99.0,170.0929,118.4414,973491.0,1345790.0,1279.7,69.39,0,,764.86,369.04,830.72,491.9,-14.93
19,AMDL,75.72,3829874.0,ETF,ETF,99.0,98.0,99.0,99.0,9.469,7.86,10147846.0,5175380.0,78.71,6.86,0,,48.52,23.76,57.23,29.23,-3.8
31,ARMG,53.45,1612344.0,ETF,ETF,99.0,99.0,99.0,99.0,10.6804,9.6761,2299883.0,2257270.0,65.95,4.63,0,,28.66,14.2,35.56,16.78,-18.95
32,MXL,96.44,3507817.0,Technology,Semiconductors,99.0,33.0,99.0,99.0,9.7136,9.045,4608162.0,3461840.0,106.28,12.73,8635812864,,73.45,31.14,87.23,41.39,-9.26
34,WDCX,58.48,3574417.0,ETF,ETF,99.0,99.0,99.0,,7.1635,5.7456,1470712.0,1963020.0,69.0,7.46,0,,28.64,,34.15,,-15.25
35,BEX,84.08,586699.0,ETF,ETF,99.0,97.0,99.0,99.0,10.6123,9.2255,904208.0,909260.0,86.12,7.2,0,,55.74,,61.97,34.39,-2.37
36,BE,345.85,11183162.0,Industrials,Electrical Equipment & Parts,99.0,95.0,98.0,99.0,26.5406,23.4984,10602295.0,11693060.0,349.91,21.43,98374918144,,265.03,155.54,284.47,186.19,-1.16
37,WDC,732.62,12936250.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,53.3771,43.0193,7860895.0,9674840.0,799.87,58.66,252521037824,,487.88,269.34,536.65,346.56,-8.41
39,MU,1211.38,47957880.0,Technology,Semiconductors,99.0,99.0,99.0,99.0,91.9229,71.3879,50692645.0,56199970.0,1213.56,103.38,1366114435072,,748.6,406.22,842.34,525.19,-0.18
44,AEHR,113.33,1066190.0,Technology,Semiconductor Equipment & Materials,99.0,97.0,99.0,99.0,14.565,12.9907,3011287.0,1785440.0,126.62,10.89,3564597248,,95.36,45.68,100.86,56.51,-10.5
47,NEBX,63.14,1088952.0,ETF,ETF,99.0,99.0,99.0,99.0,10.4696,9.7981,2405408.0,2325870.0,70.77,6.62,0,,35.99,,41.2,22.05,-10.78
48,AAOI,171.23,14157007.0,Technology,Communication Equipment,99.0,71.0,97.0,99.0,24.5827,23.5349,12752722.0,16033230.0,233.67,18.5,13739968512,,170.59,77.63,170.4,101.26,-26.72
51,VICR,365.53,920282.0,Technology,Electronic Components,99.0,98.0,98.0,99.0,26.7462,23.3133,834351.0,710330.0,369.4,41.76,16661371904,,277.43,156.84,294.66,199.2,-1.05
53,STX,1094.04,5326010.0,Technology,Computer Hardware,99.0,98.0,98.0,99.0,68.8007,61.6643,4035404.0,4322770.0,1145.0,130.92,247528865792,,772.65,426.43,852.66,534.32,-4.45
54,NBIL,61.38,870779.0,ETF,ETF,99.0,99.0,99.0,99.0,10.1204,9.475,1636404.0,1758850.0,68.46,6.37,0,,34.85,,39.93,21.29,-10.34
57,NBIG,42.85,636862.0,ETF,ETF,99.0,99.0,99.0,99.0,7.0917,6.6131,1128293.0,1204850.0,47.81,4.51,0,,24.37,,27.86,14.94,-10.37
58,INTC,140.94,122379465.0,Technology,Semiconductors,99.0,93.0,99.0,99.0,10.3229,8.0629,132945327.0,151076120.0,141.45,18.97,708364402688,,103.01,56.1,114.9,68.98,-0.36
59,ICHR,99.61,1129198.0,Technology,Semiconductor Equipment & Materials,99.0,98.0,97.0,99.0,7.6377,6.5823,980362.0,1186340.0,101.65,13.12,3473106944,,71.68,38.85,77.14,50.03,-2.01
61,SYRE,100.32,2768929.0,Healthcare,Biotechnology,99.0,98.0,98.0,98.0,5.5454,5.0007,1208498.0,1376780.0,101.7,14.0,8711914496,,73.7,41.31,77.97,52.33,-1.36
