Rank,Ticker,Price,DVol,Sector,Industry,RS Percentile,1M_RS Percentile,3M_RS Percentile,6M_RS Percentile,ATR,ADR,AvgVol,AvgVol10,52WKH,52WKL,Earning_Date,MCAP,IPO,SMA50,SMA200,SMA10W,SMA30W,History_Days,Gap (%),Latest Volume,9M+ Volume,HVE,HVE Date,HVE Volume,%_From_52WKH
2,INTW,41.62,3510374,ETF,ETF,98.0,94.0,98.0,98.0,7.4343,6.2451,6670340.0,5126360.0,52.62,1.72,,0,NO,36.21,14.25,38.82,18.54,346,0.0,3510374,NO,NO,2025-09-18,79455200,-20.9
3,SNDK,2032.22,10836496,Technology,Computer Hardware,98.0,91.0,98.0,98.0,225.8529,166.3446,13691637.0,11875060.0,2354.39,40.1,,300950978560,NO,1593.62,695.08,1717.77,949.22,346,0.0,10836496,YES,NO,2025-11-26,43000900,-13.68
20,UVIX,62.48,999570,ETF,ETF,98.0,98.0,98.0,98.0,4.701,0.4806,46148663.0,35304140.0,64.45,3.06,,0,NO,5.67,7.45,10.14,7.93,1067,0.0,999570,NO,NO,2026-03-03,112703600,-3.06
21,MXL,112.39,4258001,Technology,Semiconductors,98.0,96.0,98.0,98.0,11.0664,9.8793,5095444.0,4149400.0,128.3,12.77,,10064070656,NO,84.39,34.16,92.46,44.52,4093,0.0,4258001,NO,NO,2026-04-24,29044000,-12.4
23,AMDL,71.42,3527043,ETF,ETF,98.0,74.0,98.0,98.0,9.5533,7.6933,9391790.0,4048410.0,83.79,7.5,,0,NO,55.64,25.9,60.04,30.77,574,0.0,3534828,NO,NO,2025-10-06,106498200,-14.76
32,MU,1032.28,50305786,Technology,Semiconductors,98.0,43.0,98.0,98.0,105.9972,77.1393,51120540.0,60894900.0,1255.0,103.38,,1165850050560,NO,841.56,440.26,887.99,549.05,10602,0.0,50305786,YES,NO,2013-10-11,153906100,-17.75
33,BE,289.5,15540282,Industrials,Electrical Equipment & Parts,98.0,76.0,97.0,98.0,33.0304,28.6982,11557457.0,17428140.0,351.28,21.88,,82346500096,NO,278.32,163.84,280.92,188.74,1994,0.0,15540282,YES,NO,2024-11-15,64722200,-17.59
34,FCEL,31.89,15096992,Industrials,Electrical Equipment & Parts,98.0,98.0,98.0,98.0,4.3707,4.2814,10554627.0,17060650.0,37.88,3.78,,2156024576,NO,18.96,10.65,20.92,12.21,8563,0.0,15096992,YES,NO,2026-06-26,27123800,-15.81
35,ICHR,111.77,2504862,Technology,Semiconductor Equipment & Materials,98.0,98.0,97.0,98.0,8.8251,7.6301,1072360.0,1354570.0,113.58,13.12,,3897090304,NO,76.88,41.77,80.67,52.98,2401,0.0,2504862,NO,NO,2018-08-24,8215700,-1.59
37,ABVX,132.56,4482943,Healthcare,Biotechnology,98.0,65.0,74.0,15.0,9.8243,7.4896,1915026.0,3103330.0,148.83,7.64,,10574336000,NO,111.67,111.73,113.68,117.98,675,0.0,4483169,NO,NO,2025-07-23,27831900,-10.93
42,ORKA,93.29,1380639,Healthcare,Biotechnology,98.0,98.0,96.0,97.0,5.6475,5.1054,1787696.0,2177350.0,97.78,11.82,,5626515968,NO,68.39,41.61,69.45,49.52,7268,0.0,1380639,NO,NO,2026-04-29,7921000,-4.59
43,ATEX,108.21,514191,Communication Services,Telecom Services,98.0,98.0,98.0,98.0,7.8266,7.6926,433947.0,621590.0,108.6,17.58,,2109832192,NO,64.68,36.35,71.17,44.99,2869,0.0,514191,NO,NO,2020-12-21,3077900,-0.36
44,UCTT,129.59,1484144,Technology,Semiconductor Equipment & Materials,98.0,98.0,96.0,98.0,10.8086,8.85,1165009.0,1590450.0,144.22,21.28,,5809306112,NO,93.0,53.71,97.79,66.5,5602,0.0,1484144,NO,NO,2018-01-02,7165600,-10.14
47,BAND,63.79,824862,Technology,Software - Infrastructure,98.0,9.0,98.0,98.0,4.6912,4.4598,1221616.0,1999450.0,75.98,12.5,,2042384128,NO,52.01,24.6,58.47,30.07,2170,0.0,824862,NO,NO,2022-11-02,11116300,-16.04
