Ticker,Days,Start_Date,End_Date,Sufficient,3M_Return,6M_Return,9M_Return,12M_Return,Strength_Stock,Strength_Ref,RS,Recomputed_RS,Match
GVLE,149,2025-11-17,2026-06-23,Short: 149d,0.1597,0.136,0.1733,0.1733,0.1604,0.1326,102.46,102.46,OK
HMN,501,2024-06-24,2026-06-23,Sufficient,0.202,0.0867,0.1071,0.2043,0.1604,0.1326,102.46,102.46,OK
PINK,501,2024-06-24,2026-06-23,Sufficient,0.1413,0.0315,0.1998,0.2885,0.1605,0.1326,102.46,102.46,OK
MSSS,501,2024-06-24,2026-06-23,Sufficient,0.1452,0.1461,0.1437,0.2219,0.1604,0.1326,102.46,102.46,OK
NTSD,66,2026-03-19,2026-06-23,Short: 66d,0.1653,0.1569,0.1569,0.1569,0.1603,0.1326,102.45,102.45,OK
HELX,500,2024-06-24,2026-06-22,Sufficient,0.1465,0.0007,0.1729,0.3345,0.1602,0.1326,102.44,102.44,OK
BRX,501,2024-06-24,2026-06-23,Sufficient,0.1016,0.2257,0.1498,0.2219,0.1601,0.1326,102.44,102.44,OK
SPXE,500,2024-06-24,2026-06-22,Sufficient,0.1583,0.1107,0.1234,0.2499,0.1601,0.1326,102.43,102.43,OK
WBIF,500,2024-06-24,2026-06-22,Sufficient,0.1304,0.1354,0.1485,0.256,0.1601,0.1326,102.43,102.43,OK
RSPE,501,2024-06-24,2026-06-23,Sufficient,0.1371,0.122,0.1579,0.2466,0.1601,0.1326,102.43,102.43,OK
ZBIO,444,2024-09-13,2026-06-23,Sufficient,-0.0206,-0.4239,0.0668,1.1986,0.1601,0.1326,102.43,102.43,OK
VOOG,501,2024-06-24,2026-06-23,Sufficient,0.1563,0.1026,0.1062,0.2783,0.1599,0.1326,102.42,102.42,OK
YCS,501,2024-06-24,2026-06-23,Sufficient,0.0587,0.1136,0.2563,0.3118,0.1598,0.1326,102.41,102.41,OK
SSUS,501,2024-06-24,2026-06-23,Sufficient,0.1501,0.1169,0.1269,0.2553,0.1598,0.1326,102.41,102.41,OK
STXK,501,2024-06-24,2026-06-23,Sufficient,0.1343,0.1237,0.1344,0.2726,0.1598,0.1326,102.41,102.41,OK
CTO,501,2024-06-24,2026-06-23,Sufficient,0.1217,0.1247,0.2756,0.1547,0.1597,0.1326,102.39,102.39,OK
CNXN,501,2024-06-24,2026-06-23,Sufficient,0.2138,0.165,0.1218,0.0834,0.1596,0.1326,102.39,102.39,OK
TCBK,501,2024-06-24,2026-06-23,Sufficient,0.1173,0.0469,0.1653,0.3495,0.1593,0.1326,102.36,102.36,OK
BLUX,251,2025-06-24,2026-06-23,Short: 251d,0.1454,0.1255,0.1412,0.2388,0.1593,0.1326,102.36,102.36,OK
PRAE,500,2024-06-24,2026-06-22,Sufficient,0.0992,0.1212,0.1578,0.3186,0.1592,0.1326,102.35,102.35,OK
FFLV,501,2024-06-24,2026-06-23,Sufficient,0.1075,0.1235,0.1886,0.2687,0.1592,0.1326,102.35,102.35,OK
CNI,501,2024-06-24,2026-06-23,Sufficient,0.1411,0.1538,0.2312,0.1282,0.1591,0.1326,102.35,102.35,OK
SPYG,501,2024-06-24,2026-06-23,Sufficient,0.1567,0.1009,0.1048,0.2757,0.1589,0.1326,102.33,102.33,OK
ACVU,501,2024-06-24,2026-06-23,Sufficient,0.136,0.1146,0.1743,0.2339,0.159,0.1326,102.33,102.33,OK
EBIT,489,2024-07-11,2026-06-23,Sufficient,0.1272,0.1214,0.1429,0.2756,0.1589,0.1326,102.32,102.32,OK
IQQQ,501,2024-06-24,2026-06-23,Sufficient,0.1501,0.1146,0.1175,0.2621,0.1589,0.1326,102.32,102.32,OK
PAGP,501,2024-06-24,2026-06-23,Sufficient,0.0034,0.2709,0.3036,0.2121,0.1587,0.1326,102.31,102.31,OK
CFR,501,2024-06-24,2026-06-23,Sufficient,0.1226,0.165,0.1794,0.2041,0.1587,0.1326,102.31,102.31,OK
